schedule_id,train_number,station_code,station_name,sequence,arrival_time,departure_time,day,km_from_origin
TS00048,12646,HDL,Hodal,12,04:34,04:36,1,88
TS00049,12646,KSV,Kosi Kalan,13,04:42,04:44,1,95
TS00050,12646,CHJ,Chata,14,04:51,04:53,1,105
TS00051,12646,MTJ,Mathura Jn,15,04:59,05:01,1,120
TS00052,12646,DDDM,Deen Dayal Dham,16,05:08,05:10,1,153
TS00053,12646,RKM,Raja Ki Mandi,17,05:16,05:18,1,191
TS00054,12646,AGC,Agra Cantt,18,05:25,05:25,1,195
TS00055,12402,NDLS,New Delhi,1,04:10,04:10,1,0
TS00056,12402,CSB,Shivaji Bridge,2,04:20,04:22,1,2
TS00057,12402,TKJ,Tilak Bridge,3,04:31,04:33,1,3
TS00058,12402,NZM,Hazrat Nizamuddin,4,04:41,04:43,1,8
TS00059,12402,OKA,Okhla,5,04:51,04:53,1,12
TS00060,12402,TKD,Tuglakabad,6,05:01,05:03,1,18
TS00061,12402,FDB,Faridabad,7,05:12,05:14,1,31
TS00062,12402,FDN,Faridabad New Town,8,05:22,05:24,1,33
TS00063,12402,BVH,Ballabh Garh,9,05:32,05:34,1,39
TS00064,12402,AST,Asaoti,10,05:43,05:45,1,46
TS00065,12402,PWL,Palwal,11,05:53,05:55,1,56
TS00066,12402,HDL,Hodal,12,06:03,06:05,1,88
TS00067,12402,KSV,Kosi Kalan,13,06:14,06:16,1,95
TS00068,12402,CHJ,Chata,14,06:24,06:26,1,105
TS00069,12402,MTJ,Mathura Jn,15,06:34,06:36,1,120
TS00070,12402,DDDM,Deen Dayal Dham,16,06:44,06:46,1,153
TS00071,12402,RKM,Raja Ki Mandi,17,06:55,06:57,1,191
TS00072,12402,AGC,Agra Cantt,18,07:05,07:05,1,195
TS00073,18238,NDLS,New Delhi,1,05:10,05:10,1,0
TS00074,18238,CSB,Shivaji Bridge,2,05:20,05:22,1,2
TS00075,18238,TKJ,Tilak Bridge,3,05:31,05:33,1,3
TS00076,18238,NZM,Hazrat Nizamuddin,4,05:41,05:43,1,8
TS00077,18238,OKA,Okhla,5,05:51,05:53,1,12
TS00078,18238,TKD,Tuglakabad,6,06:01,06:03,1,18
TS00079,18238,FDB,Faridabad,7,06:12,06:14,1,31
TS00080,18238,FDN,Faridabad New Town,8,06:22,06:24,1,33
TS00081,18238,BVH,Ballabh Garh,9,06:32,06:34,1,39
TS00082,18238,AST,Asaoti,10,06:43,06:45,1,46
TS00083,18238,PWL,Palwal,11,06:53,06:55,1,56
TS00084,18238,HDL,Hodal,12,07:03,07:05,1,88
TS00085,18238,KSV,Kosi Kalan,13,07:14,07:16,1,95
TS00086,18238,CHJ,Chata,14,07:24,07:26,1,105
TS00087,18238,MTJ,Mathura Jn,15,07:34,07:36,1,120
TS00088,18238,DDDM,Deen Dayal Dham,16,07:44,07:46,1,153
TS00089,18238,RKM,Raja Ki Mandi,17,07:55,07:57,1,191
TS00090,18238,AGC,Agra Cantt,18,08:05,08:05,1,195
TS00091,12138,NDLS,New Delhi,1,05:50,05:50,1,0
TS00092,12138,CSB,Shivaji Bridge,2,06:00,06:02,1,2
TS00093,12138,TKJ,Tilak Bridge,3,06:11,06:13,1,3
TS00094,12138,NZM,Hazrat Nizamuddin,4,06:21,06:23,1,8
TS00095,12138,OKA,Okhla,5,06:31,06:33,1,12
TS00096,12138,TKD,Tuglakabad,6,06:41,06:43,1,18
TS00097,12138,FDB,Faridabad,7,06:52,06:54,1,31
TS00098,12138,FDN,Faridabad New Town,8,07:02,07:04,1,33
TS00099,12138,BVH,Ballabh Garh,9,07:12,07:14,1,39
TS00100,12138,AST,Asaoti,10,07:23,07:25,1,46
TS00101,12138,PWL,Palwal,11,07:33,07:35,1,56
TS00102,12138,HDL,Hodal,12,07:43,07:45,1,88
TS00103,12138,KSV,Kosi Kalan,13,07:54,07:56,1,95
TS00104,12138,CHJ,Chata,14,08:04,08:06,1,105
TS00105,12138,MTJ,Mathura Jn,15,08:14,08:16,1,120
TS00106,12138,DDDM,Deen Dayal Dham,16,08:24,08:26,1,153
TS00107,12138,RKM,Raja Ki Mandi,17,08:35,08:37,1,191
TS00108,12138,AGC,Agra Cantt,18,08:45,08:45,1,195
TS00109,14212,NDLS,New Delhi,1,06:30,06:30,1,0
TS00110,14212,CSB,Shivaji Bridge,2,06:45,06:47,1,2
TS00111,14212,TKJ,Tilak Bridge,3,06:59,07:01,1,3
TS00112,14212,NZM,Hazrat Nizamuddin,4,07:14,07:16,1,8
TS00113,14212,OKA,Okhla,5,07:29,07:31,1,12
TS00114,14212,TKD,Tuglakabad,6,07:44,07:46,1,18
TS00115,14212,FDB,Faridabad,7,07:58,08:00,1,31
TS00116,14212,FDN,Faridabad New Town,8,08:13,08:15,1,33
TS00117,14212,BVH,Ballabh Garh,9,08:28,08:30,1,39
TS00118,14212,AST,Asaoti,10,08:42,08:44,1,46
TS00119,14212,PWL,Palwal,11,08:57,08:59,1,56
TS00120,14212,HDL,Hodal,12,09:12,09:14,1,88
TS00121,14212,KSV,Kosi Kalan,13,09:26,09:28,1,95
TS00122,14212,CHJ,Chata,14,09:41,09:43,1,105
TS00123,14212,MTJ,Mathura Jn,15,09:56,09:58,1,120
TS00124,14212,DDDM,Deen Dayal Dham,16,10:11,10:13,1,153
TS00125,14212,RKM,Raja Ki Mandi,17,10:25,10:27,1,191
TS00126,14212,AGC,Agra Cantt,18,10:40,10:40,1,195
TS00127,12280,NDLS,New Delhi,1,07:30,07:30,1,0
TS00128,12280,CSB,Shivaji Bridge,2,07:40,07:42,1,2
TS00129,12280,TKJ,Tilak Bridge,3,07:51,07:53,1,3
TS00130,12280,NZM,Hazrat Nizamuddin,4,08:01,08:03,1,8
TS00131,12280,OKA,Okhla,5,08:11,08:13,1,12
TS00132,12280,TKD,Tuglakabad,6,08:21,08:23,1,18
TS00133,12280,FDB,Faridabad,7,08:32,08:34,1,31
TS00134,12280,FDN,Faridabad New Town,8,08:42,08:44,1,33
TS00135,12280,BVH,Ballabh Garh,9,08:52,08:54,1,39
TS00136,12280,AST,Asaoti,10,09:03,09:05,1,46
TS00137,12280,PWL,Palwal,11,09:13,09:15,1,56
TS00138,12280,HDL,Hodal,12,09:23,09:25,1,88
TS00139,12280,KSV,Kosi Kalan,13,09:34,09:36,1,95
TS00140,12280,CHJ,Chata,14,09:44,09:46,1,105
TS00141,12280,MTJ,Mathura Jn,15,09:54,09:56,1,120
TS00142,12280,DDDM,Deen Dayal Dham,16,10:04,10:06,1,153
TS00143,12280,RKM,Raja Ki Mandi,17,10:15,10:17,1,191
TS00144,12280,AGC,Agra Cantt,18,10:25,10:25,1,195
TS00145,12050,NDLS,New Delhi,1,08:30,08:30,1,0
TS00146,12050,CSB,Shivaji Bridge,2,08:38,08:40,1,2
TS00147,12050,TKJ,Tilak Bridge,3,08:45,08:47,1,3
TS00148,12050,NZM,Hazrat Nizamuddin,4,08:53,08:55,1,8
TS00149,12050,OKA,Okhla,5,09:01,09:03,1,12
TS00150,12050,TKD,Tuglakabad,6,09:08,09:10,1,18
TS00151,12050,FDB,Faridabad,7,09:16,09:18,1,31
TS00152,12050,FDN,Faridabad New Town,8,09:24,09:26,1,33
TS00153,12050,BVH,Ballabh Garh,9,09:31,09:33,1,39
TS00154,12050,AST,Asaoti,10,09:39,09:41,1,46
TS00155,12050,PWL,Palwal,11,09:46,09:48,1,56
TS00156,12050,HDL,Hodal,12,09:54,09:56,1,88
TS00157,12050,KSV,Kosi Kalan,13,10:02,10:04,1,95
TS00158,12050,CHJ,Chata,14,10:09,10:11,1,105
TS00159,12050,MTJ,Mathura Jn,15,10:17,10:19,1,120
TS00160,12050,DDDM,Deen Dayal Dham,16,10:25,10:27,1,153
TS00161,12050,RKM,Raja Ki Mandi,17,10:32,10:34,1,191
TS00162,12050,AGC,Agra Cantt,18,10:40,10:40,1,195
TS00163,12807,NDLS,New Delhi,1,09:30,09:30,1,0
TS00164,12807,CSB,Shivaji Bridge,2,09:39,09:41,1,2
TS00165,12807,TKJ,Tilak Bridge,3,09:47,09:49,1,3
TS00166,12807,NZM,Hazrat Nizamuddin,4,09:56,09:58,1,8
TS00167,12807,OKA,Okhla,5,10:04,10:06,1,12
TS00168,12807,TKD,Tuglakabad,6,10:13,10:15,1,18
TS00169,12807,FDB,Faridabad,7,10:21,10:23,1,31
TS00170,12807,FDN,Faridabad New Town,8,10:30,10:32,1,33
TS00171,12807,BVH,Ballabh Garh,9,10:38,10:40,1,39
TS00172,12807,AST,Asaoti,10,10:47,10:49,1,46
TS00173,12807,PWL,Palwal,11,10:55,10:57,1,56
TS00174,12807,HDL,Hodal,12,11:04,11:06,1,88
TS00175,12807,KSV,Kosi Kalan,13,11:12,11:14,1,95
TS00176,12807,CHJ,Chata,14,11:21,11:23,1,105
TS00177,12807,MTJ,Mathura Jn,15,11:29,11:31,1,120
TS00178,12807,DDDM,Deen Dayal Dham,16,11:38,11:40,1,153
TS00179,12807,RKM,Raja Ki Mandi,17,11:46,11:48,1,191
TS00180,12807,AGC,Agra Cantt,18,11:55,11:55,1,195
TS00181,12616,NDLS,New Delhi,1,10:30,10:30,1,0
TS00182,12616,CSB,Shivaji Bridge,2,10:40,10:42,1,2
TS00183,12616,TKJ,Tilak Bridge,3,10:51,10:53,1,3
TS00184,12616,NZM,Hazrat Nizamuddin,4,11:01,11:03,1,8
TS00185,12616,OKA,Okhla,5,11:11,11:13,1,12
TS00186,12616,TKD,Tuglakabad,6,11:21,11:23,1,18
TS00187,12616,FDB,Faridabad,7,11:32,11:34,1,31
TS00188,12616,FDN,Faridabad New Town,8,11:42,11:44,1,33
TS00189,12616,BVH,Ballabh Garh,9,11:52,11:54,1,39
TS00190,12616,AST,Asaoti,10,12:03,12:05,1,46
TS00191,12616,PWL,Palwal,11,12:13,12:15,1,56
TS00192,12616,HDL,Hodal,12,12:23,12:25,1,88
TS00193,12616,KSV,Kosi Kalan,13,12:34,12:36,1,95
TS00194,12616,CHJ,Chata,14,12:44,12:46,1,105
TS00195,12616,MTJ,Mathura Jn,15,12:54,12:56,1,120
TS00196,12616,DDDM,Deen Dayal Dham,16,13:04,13:06,1,153
TS00197,12616,RKM,Raja Ki Mandi,17,13:15,13:17,1,191
TS00198,12616,AGC,Agra Cantt,18,13:25,13:25,1,195
TS00199,12434,NDLS,New Delhi,1,11:30,11:30,1,0
TS00200,12434,CSB,Shivaji Bridge,2,11:39,11:41,1,2
TS00201,12434,TKJ,Tilak Bridge,3,11:47,11:49,1,3
TS00202,12434,NZM,Hazrat Nizamuddin,4,11:56,11:58,1,8
TS00203,12434,OKA,Okhla,5,12:04,12:06,1,12
TS00204,12434,TKD,Tuglakabad,6,12:13,12:15,1,18
TS00205,12434,FDB,Faridabad,7,12:21,12:23,1,31
TS00206,12434,FDN,Faridabad New Town,8,12:30,12:32,1,33
TS00207,12434,BVH,Ballabh Garh,9,12:38,12:40,1,39
TS00208,12434,AST,Asaoti,10,12:47,12:49,1,46
TS00209,12434,PWL,Palwal,11,12:55,12:57,1,56
TS00210,12434,HDL,Hodal,12,13:04,13:06,1,88
TS00211,12434,KSV,Kosi Kalan,13,13:12,13:14,1,95
TS00212,12434,CHJ,Chata,14,13:21,13:23,1,105
TS00213,12434,MTJ,Mathura Jn,15,13:29,13:31,1,120
TS00214,12434,DDDM,Deen Dayal Dham,16,13:38,13:40,1,153
TS00215,12434,RKM,Raja Ki Mandi,17,13:46,13:48,1,191
TS00216,12434,AGC,Agra Cantt,18,13:55,13:55,1,195
TS00217,12952,NDLS,New Delhi,1,12:30,12:30,1,0
TS00218,12952,CSB,Shivaji Bridge,2,12:39,12:41,1,2
TS00219,12952,TKJ,Tilak Bridge,3,12:47,12:49,1,3
TS00220,12952,NZM,Hazrat Nizamuddin,4,12:56,12:58,1,8
TS00221,12952,OKA,Okhla,5,13:04,13:06,1,12
TS00222,12952,TKD,Tuglakabad,6,13:13,13:15,1,18
TS00223,12952,FDB,Faridabad,7,13:21,13:23,1,31
TS00224,12952,FDN,Faridabad New Town,8,13:30,13:32,1,33
TS00225,12952,BVH,Ballabh Garh,9,13:38,13:40,1,39
TS00226,12952,AST,Asaoti,10,13:47,13:49,1,46
TS00227,12952,PWL,Palwal,11,13:55,13:57,1,56
TS00228,12952,HDL,Hodal,12,14:04,14:06,1,88
TS00229,12952,KSV,Kosi Kalan,13,14:12,14:14,1,95
TS00230,12952,CHJ,Chata,14,14:21,14:23,1,105
TS00231,12952,MTJ,Mathura Jn,15,14:29,14:31,1,120
TS00232,12952,DDDM,Deen Dayal Dham,16,14:38,14:40,1,153
TS00233,12952,RKM,Raja Ki Mandi,17,14:46,14:48,1,191
TS00234,12952,AGC,Agra Cantt,18,14:55,14:55,1,195
TS00235,12642,NDLS,New Delhi,1,13:30,13:30,1,0
TS00236,12642,CSB,Shivaji Bridge,2,13:39,13:41,1,2
TS00237,12642,TKJ,Tilak Bridge,3,13:47,13:49,1,3
TS00238,12642,NZM,Hazrat Nizamuddin,4,13:56,13:58,1,8
TS00239,12642,OKA,Okhla,5,14:04,14:06,1,12
TS00240,12642,TKD,Tuglakabad,6,14:13,14:15,1,18
TS00241,12642,FDB,Faridabad,7,14:21,14:23,1,31
TS00242,12642,FDN,Faridabad New Town,8,14:30,14:32,1,33
TS00243,12642,BVH,Ballabh Garh,9,14:38,14:40,1,39
TS00244,12642,AST,Asaoti,10,14:47,14:49,1,46
TS00245,12642,PWL,Palwal,11,14:55,14:57,1,56
TS00246,12642,HDL,Hodal,12,15:04,15:06,1,88
TS00247,12642,KSV,Kosi Kalan,13,15:12,15:14,1,95
TS00248,12642,CHJ,Chata,14,15:21,15:23,1,105
TS00249,12642,MTJ,Mathura Jn,15,15:29,15:31,1,120
TS00250,12642,DDDM,Deen Dayal Dham,16,15:38,15:40,1,153
TS00251,12642,RKM,Raja Ki Mandi,17,15:46,15:48,1,191
TS00252,12642,AGC,Agra Cantt,18,15:55,15:55,1,195
TS00253,12652,NDLS,New Delhi,1,14:30,14:30,1,0
TS00254,12652,CSB,Shivaji Bridge,2,14:39,14:41,1,2
TS00255,12652,TKJ,Tilak Bridge,3,14:47,14:49,1,3
TS00256,12652,NZM,Hazrat Nizamuddin,4,14:56,14:58,1,8
TS00257,12652,OKA,Okhla,5,15:04,15:06,1,12
TS00258,12652,TKD,Tuglakabad,6,15:13,15:15,1,18
TS00259,12652,FDB,Faridabad,7,15:21,15:23,1,31
TS00260,12652,FDN,Faridabad New Town,8,15:30,15:32,1,33
TS00261,12652,BVH,Ballabh Garh,9,15:38,15:40,1,39
TS00262,12652,AST,Asaoti,10,15:47,15:49,1,46
TS00263,12652,PWL,Palwal,11,15:55,15:57,1,56
TS00264,12652,HDL,Hodal,12,16:04,16:06,1,88
TS00265,12652,KSV,Kosi Kalan,13,16:12,16:14,1,95
TS00266,12652,CHJ,Chata,14,16:21,16:23,1,105
TS00267,12652,MTJ,Mathura Jn,15,16:29,16:31,1,120
TS00268,12652,DDDM,Deen Dayal Dham,16,16:38,16:40,1,153
TS00269,12652,RKM,Raja Ki Mandi,17,16:46,16:48,1,191
TS00270,12652,AGC,Agra Cantt,18,16:55,16:55,1,195
TS00271,64074,NDLS,New Delhi,1,15:30,15:30,1,0
TS00272,64074,CSB,Shivaji Bridge,2,15:45,15:47,1,2
TS00273,64074,TKJ,Tilak Bridge,3,15:59,16:01,1,3
TS00274,64074,NZM,Hazrat Nizamuddin,4,16:14,16:16,1,8
TS00275,64074,OKA,Okhla,5,16:29,16:31,1,12
TS00276,64074,TKD,Tuglakabad,6,16:44,16:46,1,18
TS00277,64074,FDB,Faridabad,7,16:58,17:00,1,31
TS00278,64074,FDN,Faridabad New Town,8,17:13,17:15,1,33
TS00279,64074,BVH,Ballabh Garh,9,17:28,17:30,1,39
TS00280,64074,AST,Asaoti,10,17:42,17:44,1,46
TS00281,64074,PWL,Palwal,11,17:57,17:59,1,56
TS00282,64074,HDL,Hodal,12,18:12,18:14,1,88
TS00283,64074,KSV,Kosi Kalan,13,18:26,18:28,1,95
TS00284,64074,CHJ,Chata,14,18:41,18:43,1,105
TS00285,64074,MTJ,Mathura Jn,15,18:56,18:58,1,120
TS00286,64074,DDDM,Deen Dayal Dham,16,19:11,19:13,1,153
TS00287,64074,RKM,Raja Ki Mandi,17,19:25,19:27,1,191
TS00288,64074,AGC,Agra Cantt,18,19:40,19:40,1,195
TS00289,14211,AGC,Agra Cantt,1,16:30,16:30,1,0
TS00290,14211,RKM,Raja Ki Mandi,2,16:45,16:47,1,4
TS00291,14211,DDDM,Deen Dayal Dham,3,16:59,17:01,1,42
TS00292,14211,MTJ,Mathura Jn,4,17:14,17:16,1,75
TS00293,14211,CHJ,Chata,5,17:29,17:31,1,90
TS00294,14211,KSV,Kosi Kalan,6,17:44,17:46,1,100
TS00295,14211,HDL,Hodal,7,17:58,18:00,1,107
TS00296,14211,PWL,Palwal,8,18:13,18:15,1,139
TS00297,14211,AST,Asaoti,9,18:28,18:30,1,149
TS00298,14211,BVH,Ballabh Garh,10,18:42,18:44,1,156
TS00299,14211,FDN,Faridabad New Town,11,18:57,18:59,1,162
TS00300,14211,FDB,Faridabad,12,19:12,19:14,1,164
TS00301,14211,TKD,Tuglakabad,13,19:26,19:28,1,177
TS00302,14211,OKA,Okhla,14,19:41,19:43,1,183
TS00303,14211,NZM,Hazrat Nizamuddin,15,19:56,19:58,1,187
TS00304,14211,TKJ,Tilak Bridge,16,20:11,20:13,1,192
TS00305,14211,CSB,Shivaji Bridge,17,20:25,20:27,1,193
TS00306,14211,NDLS,New Delhi,18,20:40,20:40,1,195
TS00307,12903,AGC,Agra Cantt,1,17:30,17:30,1,0
TS00308,12903,RKM,Raja Ki Mandi,2,17:40,17:42,1,4
TS00309,12903,DDDM,Deen Dayal Dham,3,17:51,17:53,1,42
TS00310,12903,MTJ,Mathura Jn,4,18:01,18:03,1,75
TS00311,12903,CHJ,Chata,5,18:11,18:13,1,90
TS00312,12903,KSV,Kosi Kalan,6,18:21,18:23,1,100
TS00313,12903,HDL,Hodal,7,18:32,18:34,1,107
TS00314,12903,PWL,Palwal,8,18:42,18:44,1,139
TS00315,12903,AST,Asaoti,9,18:52,18:54,1,149
TS00316,12903,BVH,Ballabh Garh,10,19:03,19:05,1,156
TS00317,12903,FDN,Faridabad New Town,11,19:13,19:15,1,162
TS00318,12903,FDB,Faridabad,12,19:23,19:25,1,164
TS00319,12903,TKD,Tuglakabad,13,19:34,19:36,1,177
TS00320,12903,OKA,Okhla,14,19:44,19:46,1,183
TS00321,12903,NZM,Hazrat Nizamuddin,15,19:54,19:56,1,187
TS00322,12903,TKJ,Tilak Bridge,16,20:04,20:06,1,192
TS00323,12903,CSB,Shivaji Bridge,17,20:15,20:17,1,193
TS00324,12903,NDLS,New Delhi,18,20:25,20:25,1,195
TS00325,12401,AGC,Agra Cantt,1,18:30,18:30,1,0
TS00326,12401,RKM,Raja Ki Mandi,2,18:40,18:42,1,4
TS00327,12401,DDDM,Deen Dayal Dham,3,18:51,18:53,1,42
TS00328,12401,MTJ,Mathura Jn,4,19:01,19:03,1,75
TS00329,12401,CHJ,Chata,5,19:11,19:13,1,90
TS00330,12401,KSV,Kosi Kalan,6,19:21,19:23,1,100
TS00331,12401,HDL,Hodal,7,19:32,19:34,1,107
TS00332,12401,PWL,Palwal,8,19:42,19:44,1,139
TS00333,12401,AST,Asaoti,9,19:52,19:54,1,149
TS00334,12401,BVH,Ballabh Garh,10,20:03,20:05,1,156
TS00335,12401,FDN,Faridabad New Town,11,20:13,20:15,1,162
TS00336,12401,FDB,Faridabad,12,20:23,20:25,1,164
TS00337,12401,TKD,Tuglakabad,13,20:34,20:36,1,177
TS00338,12401,OKA,Okhla,14,20:44,20:46,1,183
TS00339,12401,NZM,Hazrat Nizamuddin,15,20:54,20:56,1,187
TS00340,12401,TKJ,Tilak Bridge,16,21:04,21:06,1,192
TS00341,12401,CSB,Shivaji Bridge,17,21:15,21:17,1,193
TS00342,12401,NDLS,New Delhi,18,21:25,21:25,1,195
TS00343,12279,AGC,Agra Cantt,1,19:30,19:30,1,0
TS00344,12279,RKM,Raja Ki Mandi,2,19:40,19:42,1,4
TS00345,12279,DDDM,Deen Dayal Dham,3,19:51,19:53,1,42
TS00346,12279,MTJ,Mathura Jn,4,20:01,20:03,1,75
TS00347,12279,CHJ,Chata,5,20:11,20:13,1,90
TS00348,12279,KSV,Kosi Kalan,6,20:21,20:23,1,100
TS00349,12279,HDL,Hodal,7,20:32,20:34,1,107
TS00350,12279,PWL,Palwal,8,20:42,20:44,1,139
TS00351,12279,AST,Asaoti,9,20:52,20:54,1,149
TS00352,12279,BVH,Ballabh Garh,10,21:03,21:05,1,156
TS00353,12279,FDN,Faridabad New Town,11,21:13,21:15,1,162
TS00354,12279,FDB,Faridabad,12,21:23,21:25,1,164
TS00355,12279,TKD,Tuglakabad,13,21:34,21:36,1,177
TS00356,12279,OKA,Okhla,14,21:44,21:46,1,183
TS00357,12279,NZM,Hazrat Nizamuddin,15,21:54,21:56,1,187
TS00358,12279,TKJ,Tilak Bridge,16,22:04,22:06,1,192
TS00359,12279,CSB,Shivaji Bridge,17,22:15,22:17,1,193
TS00360,12279,NDLS,New Delhi,18,22:25,22:25,1,195
TS00361,12049,AGC,Agra Cantt,1,20:30,20:30,1,0
TS00362,12049,RKM,Raja Ki Mandi,2,20:38,20:40,1,4
TS00363,12049,DDDM,Deen Dayal Dham,3,20:45,20:47,1,42
TS00364,12049,MTJ,Mathura Jn,4,20:53,20:55,1,75
TS00365,12049,CHJ,Chata,5,21:01,21:03,1,90
TS00366,12049,KSV,Kosi Kalan,6,21:08,21:10,1,100
TS00367,12049,HDL,Hodal,7,21:16,21:18,1,107
TS00368,12049,PWL,Palwal,8,21:24,21:26,1,139
TS00369,12049,AST,Asaoti,9,21:31,21:33,1,149
TS00370,12049,BVH,Ballabh Garh,10,21:39,21:41,1,156
TS00371,12049,FDN,Faridabad New Town,11,21:46,21:48,1,162
TS00372,12049,FDB,Faridabad,12,21:54,21:56,1,164
TS00373,12049,TKD,Tuglakabad,13,22:02,22:04,1,177
TS00374,12049,OKA,Okhla,14,22:09,22:11,1,183
TS00375,12049,NZM,Hazrat Nizamuddin,15,22:17,22:19,1,187
TS00376,12049,TKJ,Tilak Bridge,16,22:25,22:27,1,192
TS00377,12049,CSB,Shivaji Bridge,17,22:32,22:34,1,193
TS00378,12049,NDLS,New Delhi,18,22:40,22:40,1,195
TS00379,14216,AGC,Agra Cantt,1,21:30,21:30,1,0
TS00380,14216,RKM,Raja Ki Mandi,2,21:45,21:47,1,4
TS00381,14216,DDDM,Deen Dayal Dham,3,21:59,22:01,1,42
TS00382,14216,MTJ,Mathura Jn,4,22:14,22:16,1,75
TS00383,14216,CHJ,Chata,5,22:29,22:31,1,90
TS00384,14216,KSV,Kosi Kalan,6,22:44,22:46,1,100
TS00385,14216,HDL,Hodal,7,22:58,23:00,1,107
TS00386,14216,PWL,Palwal,8,23:13,23:15,1,139
TS00387,14216,AST,Asaoti,9,23:28,23:30,1,149
TS00388,14216,BVH,Ballabh Garh,10,23:42,23:44,1,156
TS00389,14216,FDN,Faridabad New Town,11,23:57,23:59,1,162
TS00390,14216,FDB,Faridabad,12,24:12,24:14,1,164
TS00391,14216,TKD,Tuglakabad,13,24:26,24:28,1,177
TS00392,14216,OKA,Okhla,14,24:41,24:43,1,183
TS00393,14216,NZM,Hazrat Nizamuddin,15,24:56,24:58,1,187
TS00394,14216,TKJ,Tilak Bridge,16,25:11,25:13,1,192
TS00395,14216,CSB,Shivaji Bridge,17,25:25,25:27,1,193
TS00396,14216,NDLS,New Delhi,18,25:40,25:40,1,195
TS00397,14042,NDLS,New Delhi,1,22:30,22:30,1,0
TS00398,14042,CSB,Shivaji Bridge,2,22:40,22:42,1,2
TS00399,14042,TKJ,Tilak Bridge,3,22:51,22:53,1,3
TS00400,14042,NZM,Hazrat Nizamuddin,4,23:01,23:03,1,8
TS00401,14042,OKA,Okhla,5,23:11,23:13,1,12
TS00402,14042,TKD,Tuglakabad,6,23:21,23:23,1,18
TS00403,14042,FDB,Faridabad,7,23:32,23:34,1,31
TS00404,14042,FDN,Faridabad New Town,8,23:42,23:44,1,33
TS00405,14042,BVH,Ballabh Garh,9,23:52,23:54,1,39
TS00406,14042,AST,Asaoti,10,24:03,24:05,1,46
TS00407,14042,PWL,Palwal,11,24:13,24:15,1,56
TS00408,14042,HDL,Hodal,12,24:23,24:25,1,88
