window_id,section_id,start_hour,start_time,end_time,expected_train_count,traffic_level,is_feasible,window_reason
MW00053,SEC003,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00054,SEC003,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00055,SEC003,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00056,SEC003,7,07:00,08:00,2,LOW,True,LOW_TRAFFIC
MW00057,SEC003,8,08:00,09:00,2,LOW,True,LOW_TRAFFIC
MW00058,SEC003,9,09:00,10:00,1,LOW,True,LOW_TRAFFIC
MW00059,SEC003,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00060,SEC003,11,11:00,12:00,2,LOW,True,LOW_TRAFFIC
MW00061,SEC003,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00062,SEC003,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00063,SEC003,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00064,SEC003,15,15:00,16:00,0,LOW,True,LOW_TRAFFIC
MW00065,SEC003,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00066,SEC003,17,17:00,18:00,0,LOW,True,LOW_TRAFFIC
MW00067,SEC003,18,18:00,19:00,0,LOW,True,LOW_TRAFFIC
MW00068,SEC003,19,19:00,20:00,0,LOW,True,LOW_TRAFFIC
MW00069,SEC003,20,20:00,21:00,0,LOW,True,LOW_TRAFFIC
MW00070,SEC003,21,21:00,22:00,0,LOW,True,LOW_TRAFFIC
MW00071,SEC003,22,22:00,23:00,2,LOW,True,LOW_TRAFFIC
MW00072,SEC003,23,23:00,00:00,2,LOW,True,LOW_TRAFFIC
MW00073,SEC004,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00074,SEC004,1,01:00,02:00,1,LOW,True,LOW_TRAFFIC
MW00075,SEC004,2,02:00,03:00,1,LOW,True,LOW_TRAFFIC
MW00076,SEC004,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00077,SEC004,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00078,SEC004,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00079,SEC004,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00080,SEC004,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00081,SEC004,8,08:00,09:00,2,LOW,True,LOW_TRAFFIC
MW00082,SEC004,9,09:00,10:00,2,LOW,True,LOW_TRAFFIC
MW00083,SEC004,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00084,SEC004,11,11:00,12:00,2,LOW,True,LOW_TRAFFIC
MW00085,SEC004,12,12:00,13:00,2,LOW,True,LOW_TRAFFIC
MW00086,SEC004,13,13:00,14:00,2,LOW,True,LOW_TRAFFIC
MW00087,SEC004,14,14:00,15:00,2,LOW,True,LOW_TRAFFIC
MW00088,SEC004,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00089,SEC004,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00090,SEC004,17,17:00,18:00,0,LOW,True,LOW_TRAFFIC
MW00091,SEC004,18,18:00,19:00,0,LOW,True,LOW_TRAFFIC
MW00092,SEC004,19,19:00,20:00,2,LOW,True,LOW_TRAFFIC
MW00093,SEC004,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00094,SEC004,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00095,SEC004,22,22:00,23:00,1,LOW,True,LOW_TRAFFIC
MW00096,SEC004,23,23:00,00:00,1,LOW,True,LOW_TRAFFIC
MW00097,SEC005,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00098,SEC005,1,01:00,02:00,1,LOW,True,LOW_TRAFFIC
MW00099,SEC005,2,02:00,03:00,1,LOW,True,LOW_TRAFFIC
MW00100,SEC005,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00101,SEC005,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00102,SEC005,5,05:00,06:00,2,LOW,True,LOW_TRAFFIC
MW00103,SEC005,6,06:00,07:00,2,LOW,True,LOW_TRAFFIC
MW00104,SEC005,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00105,SEC005,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00106,SEC005,9,09:00,10:00,1,LOW,True,LOW_TRAFFIC
MW00107,SEC005,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00108,SEC005,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00109,SEC005,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00110,SEC005,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00111,SEC005,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00112,SEC005,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00113,SEC005,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00114,SEC005,17,17:00,18:00,0,LOW,True,LOW_TRAFFIC
MW00115,SEC005,18,18:00,19:00,0,LOW,True,LOW_TRAFFIC
MW00116,SEC005,19,19:00,20:00,2,LOW,True,LOW_TRAFFIC
MW00117,SEC005,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00118,SEC005,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00119,SEC005,22,22:00,23:00,1,LOW,True,LOW_TRAFFIC
MW00120,SEC005,23,23:00,00:00,1,LOW,True,LOW_TRAFFIC
MW00121,SEC006,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00122,SEC006,1,01:00,02:00,1,LOW,True,LOW_TRAFFIC
MW00123,SEC006,2,02:00,03:00,2,LOW,True,LOW_TRAFFIC
MW00124,SEC006,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00125,SEC006,4,04:00,05:00,0,LOW,True,LOW_TRAFFIC
MW00126,SEC006,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00127,SEC006,6,06:00,07:00,2,LOW,True,LOW_TRAFFIC
MW00128,SEC006,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00129,SEC006,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00130,SEC006,9,09:00,10:00,1,LOW,True,LOW_TRAFFIC
MW00131,SEC006,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00132,SEC006,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00133,SEC006,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00134,SEC006,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00135,SEC006,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00136,SEC006,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00137,SEC006,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00138,SEC006,17,17:00,18:00,0,LOW,True,LOW_TRAFFIC
MW00139,SEC006,18,18:00,19:00,0,LOW,True,LOW_TRAFFIC
MW00140,SEC006,19,19:00,20:00,2,LOW,True,LOW_TRAFFIC
MW00141,SEC006,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00142,SEC006,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00143,SEC006,22,22:00,23:00,0,LOW,True,LOW_TRAFFIC
MW00144,SEC006,23,23:00,00:00,1,LOW,True,LOW_TRAFFIC
MW00145,SEC007,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00146,SEC007,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00147,SEC007,2,02:00,03:00,2,LOW,True,LOW_TRAFFIC
MW00148,SEC007,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00149,SEC007,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00150,SEC007,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00151,SEC007,6,06:00,07:00,2,LOW,True,LOW_TRAFFIC
MW00152,SEC007,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00153,SEC007,8,08:00,09:00,2,LOW,True,LOW_TRAFFIC
MW00154,SEC007,9,09:00,10:00,1,LOW,True,LOW_TRAFFIC
MW00155,SEC007,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00156,SEC007,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00157,SEC007,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00158,SEC007,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00159,SEC007,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00160,SEC007,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00161,SEC007,16,16:00,17:00,0,LOW,True,LOW_TRAFFIC
MW00162,SEC007,17,17:00,18:00,1,LOW,True,LOW_TRAFFIC
MW00163,SEC007,18,18:00,19:00,0,LOW,True,LOW_TRAFFIC
MW00164,SEC007,19,19:00,20:00,1,LOW,True,LOW_TRAFFIC
MW00165,SEC007,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00166,SEC007,21,21:00,22:00,2,LOW,True,LOW_TRAFFIC
MW00167,SEC007,22,22:00,23:00,0,LOW,True,LOW_TRAFFIC
MW00168,SEC007,23,23:00,00:00,1,LOW,True,LOW_TRAFFIC
MW00169,SEC008,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00170,SEC008,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00171,SEC008,2,02:00,03:00,2,LOW,True,LOW_TRAFFIC
MW00172,SEC008,3,03:00,04:00,0,LOW,True,LOW_TRAFFIC
MW00173,SEC008,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00174,SEC008,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00175,SEC008,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00176,SEC008,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00177,SEC008,8,08:00,09:00,2,LOW,True,LOW_TRAFFIC
MW00178,SEC008,9,09:00,10:00,1,LOW,True,LOW_TRAFFIC
MW00179,SEC008,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00180,SEC008,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00181,SEC008,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00182,SEC008,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00183,SEC008,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00184,SEC008,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00185,SEC008,16,16:00,17:00,0,LOW,True,LOW_TRAFFIC
MW00186,SEC008,17,17:00,18:00,1,LOW,True,LOW_TRAFFIC
MW00187,SEC008,18,18:00,19:00,1,LOW,True,LOW_TRAFFIC
MW00188,SEC008,19,19:00,20:00,1,LOW,True,LOW_TRAFFIC
MW00189,SEC008,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00190,SEC008,21,21:00,22:00,2,LOW,True,LOW_TRAFFIC
MW00191,SEC008,22,22:00,23:00,0,LOW,True,LOW_TRAFFIC
MW00192,SEC008,23,23:00,00:00,2,LOW,True,LOW_TRAFFIC
MW00193,SEC009,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00194,SEC009,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00195,SEC009,2,02:00,03:00,2,LOW,True,LOW_TRAFFIC
MW00196,SEC009,3,03:00,04:00,0,LOW,True,LOW_TRAFFIC
MW00197,SEC009,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00198,SEC009,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00199,SEC009,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00200,SEC009,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00201,SEC009,8,08:00,09:00,2,LOW,True,LOW_TRAFFIC
MW00202,SEC009,9,09:00,10:00,2,LOW,True,LOW_TRAFFIC
MW00203,SEC009,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00204,SEC009,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00205,SEC009,12,12:00,13:00,2,LOW,True,LOW_TRAFFIC
MW00206,SEC009,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00207,SEC009,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00208,SEC009,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00209,SEC009,16,16:00,17:00,0,LOW,True,LOW_TRAFFIC
MW00210,SEC009,17,17:00,18:00,1,LOW,True,LOW_TRAFFIC
MW00211,SEC009,18,18:00,19:00,1,LOW,True,LOW_TRAFFIC
MW00212,SEC009,19,19:00,20:00,0,LOW,True,LOW_TRAFFIC
MW00213,SEC009,20,20:00,21:00,0,LOW,True,LOW_TRAFFIC
MW00214,SEC009,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00215,SEC009,22,22:00,23:00,0,LOW,True,LOW_TRAFFIC
MW00216,SEC009,23,23:00,00:00,2,LOW,True,LOW_TRAFFIC
MW00217,SEC010,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00218,SEC010,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00219,SEC010,2,02:00,03:00,2,LOW,True,LOW_TRAFFIC
MW00220,SEC010,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00221,SEC010,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00222,SEC010,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00223,SEC010,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00224,SEC010,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00225,SEC010,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00226,SEC010,9,09:00,10:00,2,LOW,True,LOW_TRAFFIC
MW00227,SEC010,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00228,SEC010,11,11:00,12:00,0,LOW,True,LOW_TRAFFIC
MW00229,SEC010,12,12:00,13:00,2,LOW,True,LOW_TRAFFIC
MW00230,SEC010,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00231,SEC010,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00232,SEC010,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00233,SEC010,16,16:00,17:00,0,LOW,True,LOW_TRAFFIC
MW00234,SEC010,17,17:00,18:00,1,LOW,True,LOW_TRAFFIC
MW00235,SEC010,18,18:00,19:00,2,LOW,True,LOW_TRAFFIC
MW00236,SEC010,19,19:00,20:00,1,LOW,True,LOW_TRAFFIC
MW00237,SEC010,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00238,SEC010,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00239,SEC010,22,22:00,23:00,0,LOW,True,LOW_TRAFFIC
MW00240,SEC010,23,23:00,00:00,1,LOW,True,LOW_TRAFFIC
MW00241,SEC011,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00242,SEC011,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00243,SEC011,2,02:00,03:00,1,LOW,True,LOW_TRAFFIC
MW00244,SEC011,3,03:00,04:00,1,LOW,True,LOW_TRAFFIC
MW00245,SEC011,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00246,SEC011,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00247,SEC011,6,06:00,07:00,2,LOW,True,LOW_TRAFFIC
MW00248,SEC011,7,07:00,08:00,2,LOW,True,LOW_TRAFFIC
MW00249,SEC011,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00250,SEC011,9,09:00,10:00,3,MEDIUM,True,AVAILABLE_WITH_CONTROL
MW00251,SEC011,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00252,SEC011,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00253,SEC011,12,12:00,13:00,2,LOW,True,LOW_TRAFFIC
MW00254,SEC011,13,13:00,14:00,2,LOW,True,LOW_TRAFFIC
MW00255,SEC011,14,14:00,15:00,2,LOW,True,LOW_TRAFFIC
MW00256,SEC011,15,15:00,16:00,2,LOW,True,LOW_TRAFFIC
MW00257,SEC011,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00258,SEC011,17,17:00,18:00,1,LOW,True,LOW_TRAFFIC
MW00259,SEC011,18,18:00,19:00,2,LOW,True,LOW_TRAFFIC
MW00260,SEC011,19,19:00,20:00,1,LOW,True,LOW_TRAFFIC
MW00261,SEC011,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00262,SEC011,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00263,SEC011,22,22:00,23:00,0,LOW,True,LOW_TRAFFIC
MW00264,SEC011,23,23:00,00:00,0,LOW,True,LOW_TRAFFIC
MW00265,SEC012,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00266,SEC012,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00267,SEC012,2,02:00,03:00,1,LOW,True,LOW_TRAFFIC
MW00268,SEC012,3,03:00,04:00,2,LOW,True,LOW_TRAFFIC
MW00269,SEC012,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00270,SEC012,5,05:00,06:00,0,LOW,True,LOW_TRAFFIC
MW00271,SEC012,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00272,SEC012,7,07:00,08:00,2,LOW,True,LOW_TRAFFIC
MW00273,SEC012,8,08:00,09:00,0,LOW,True,LOW_TRAFFIC
MW00274,SEC012,9,09:00,10:00,3,MEDIUM,True,AVAILABLE_WITH_CONTROL
MW00275,SEC012,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00276,SEC012,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00277,SEC012,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00278,SEC012,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00279,SEC012,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00280,SEC012,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00281,SEC012,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00282,SEC012,17,17:00,18:00,0,LOW,True,LOW_TRAFFIC
MW00283,SEC012,18,18:00,19:00,2,LOW,True,LOW_TRAFFIC
MW00284,SEC012,19,19:00,20:00,1,LOW,True,LOW_TRAFFIC
MW00285,SEC012,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00286,SEC012,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00287,SEC012,22,22:00,23:00,0,LOW,True,LOW_TRAFFIC
MW00288,SEC012,23,23:00,00:00,0,LOW,True,LOW_TRAFFIC
MW00289,SEC013,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00290,SEC013,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00291,SEC013,2,02:00,03:00,0,LOW,True,LOW_TRAFFIC
MW00292,SEC013,3,03:00,04:00,2,LOW,True,LOW_TRAFFIC
MW00293,SEC013,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00294,SEC013,5,05:00,06:00,0,LOW,True,LOW_TRAFFIC
MW00295,SEC013,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00296,SEC013,7,07:00,08:00,2,LOW,True,LOW_TRAFFIC
MW00297,SEC013,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00298,SEC013,9,09:00,10:00,2,LOW,True,LOW_TRAFFIC
MW00299,SEC013,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00300,SEC013,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00301,SEC013,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00302,SEC013,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00303,SEC013,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00304,SEC013,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00305,SEC013,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00306,SEC013,17,17:00,18:00,1,LOW,True,LOW_TRAFFIC
MW00307,SEC013,18,18:00,19:00,2,LOW,True,LOW_TRAFFIC
MW00308,SEC013,19,19:00,20:00,1,LOW,True,LOW_TRAFFIC
MW00309,SEC013,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00310,SEC013,21,21:00,22:00,1,LOW,True,LOW_TRAFFIC
MW00311,SEC013,22,22:00,23:00,1,LOW,True,LOW_TRAFFIC
MW00312,SEC013,23,23:00,00:00,0,LOW,True,LOW_TRAFFIC
MW00313,SEC014,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00314,SEC014,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00315,SEC014,2,02:00,03:00,0,LOW,True,LOW_TRAFFIC
MW00316,SEC014,3,03:00,04:00,2,LOW,True,LOW_TRAFFIC
MW00317,SEC014,4,04:00,05:00,1,LOW,True,LOW_TRAFFIC
MW00318,SEC014,5,05:00,06:00,0,LOW,True,LOW_TRAFFIC
MW00319,SEC014,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00320,SEC014,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00321,SEC014,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00322,SEC014,9,09:00,10:00,2,LOW,True,LOW_TRAFFIC
MW00323,SEC014,10,10:00,11:00,1,LOW,True,LOW_TRAFFIC
MW00324,SEC014,11,11:00,12:00,1,LOW,True,LOW_TRAFFIC
MW00325,SEC014,12,12:00,13:00,1,LOW,True,LOW_TRAFFIC
MW00326,SEC014,13,13:00,14:00,1,LOW,True,LOW_TRAFFIC
MW00327,SEC014,14,14:00,15:00,1,LOW,True,LOW_TRAFFIC
MW00328,SEC014,15,15:00,16:00,1,LOW,True,LOW_TRAFFIC
MW00329,SEC014,16,16:00,17:00,1,LOW,True,LOW_TRAFFIC
MW00330,SEC014,17,17:00,18:00,1,LOW,True,LOW_TRAFFIC
MW00331,SEC014,18,18:00,19:00,2,LOW,True,LOW_TRAFFIC
MW00332,SEC014,19,19:00,20:00,1,LOW,True,LOW_TRAFFIC
MW00333,SEC014,20,20:00,21:00,1,LOW,True,LOW_TRAFFIC
MW00334,SEC014,21,21:00,22:00,0,LOW,True,LOW_TRAFFIC
MW00335,SEC014,22,22:00,23:00,1,LOW,True,LOW_TRAFFIC
MW00336,SEC014,23,23:00,00:00,0,LOW,True,LOW_TRAFFIC
MW00337,SEC015,0,00:00,01:00,0,LOW,True,LOW_TRAFFIC
MW00338,SEC015,1,01:00,02:00,0,LOW,True,LOW_TRAFFIC
MW00339,SEC015,2,02:00,03:00,0,LOW,True,LOW_TRAFFIC
MW00340,SEC015,3,03:00,04:00,2,LOW,True,LOW_TRAFFIC
MW00341,SEC015,4,04:00,05:00,0,LOW,True,LOW_TRAFFIC
MW00342,SEC015,5,05:00,06:00,1,LOW,True,LOW_TRAFFIC
MW00343,SEC015,6,06:00,07:00,1,LOW,True,LOW_TRAFFIC
MW00344,SEC015,7,07:00,08:00,1,LOW,True,LOW_TRAFFIC
MW00345,SEC015,8,08:00,09:00,1,LOW,True,LOW_TRAFFIC
MW00346,SEC015,9,09:00,10:00,2,LOW,True,LOW_TRAFFIC
