traffic_window_id,section_id,hour,train_count,traffic_level
TW00155,SEC007,10,1,LOW
TW00156,SEC007,11,1,LOW
TW00157,SEC007,12,1,LOW
TW00158,SEC007,13,1,LOW
TW00159,SEC007,14,1,LOW
TW00160,SEC007,15,1,LOW
TW00161,SEC007,16,0,LOW
TW00162,SEC007,17,1,LOW
TW00163,SEC007,18,0,LOW
TW00164,SEC007,19,1,LOW
TW00165,SEC007,20,1,LOW
TW00166,SEC007,21,2,LOW
TW00167,SEC007,22,0,LOW
TW00168,SEC007,23,1,LOW
TW00169,SEC008,0,0,LOW
TW00170,SEC008,1,0,LOW
TW00171,SEC008,2,2,LOW
TW00172,SEC008,3,0,LOW
TW00173,SEC008,4,1,LOW
TW00174,SEC008,5,1,LOW
TW00175,SEC008,6,1,LOW
TW00176,SEC008,7,1,LOW
TW00177,SEC008,8,2,LOW
TW00178,SEC008,9,1,LOW
TW00179,SEC008,10,1,LOW
TW00180,SEC008,11,1,LOW
TW00181,SEC008,12,1,LOW
TW00182,SEC008,13,1,LOW
TW00183,SEC008,14,1,LOW
TW00184,SEC008,15,1,LOW
TW00185,SEC008,16,0,LOW
TW00186,SEC008,17,1,LOW
TW00187,SEC008,18,1,LOW
TW00188,SEC008,19,1,LOW
TW00189,SEC008,20,1,LOW
TW00190,SEC008,21,2,LOW
TW00191,SEC008,22,0,LOW
TW00192,SEC008,23,2,LOW
TW00193,SEC009,0,0,LOW
TW00194,SEC009,1,0,LOW
TW00195,SEC009,2,2,LOW
TW00196,SEC009,3,0,LOW
TW00197,SEC009,4,1,LOW
TW00198,SEC009,5,1,LOW
TW00199,SEC009,6,1,LOW
TW00200,SEC009,7,1,LOW
TW00201,SEC009,8,2,LOW
TW00202,SEC009,9,2,LOW
TW00203,SEC009,10,1,LOW
TW00204,SEC009,11,1,LOW
TW00205,SEC009,12,2,LOW
TW00206,SEC009,13,1,LOW
TW00207,SEC009,14,1,LOW
TW00208,SEC009,15,1,LOW
TW00209,SEC009,16,0,LOW
TW00210,SEC009,17,1,LOW
TW00211,SEC009,18,1,LOW
TW00212,SEC009,19,0,LOW
TW00213,SEC009,20,0,LOW
TW00214,SEC009,21,1,LOW
TW00215,SEC009,22,0,LOW
TW00216,SEC009,23,2,LOW
TW00217,SEC010,0,0,LOW
TW00218,SEC010,1,0,LOW
TW00219,SEC010,2,2,LOW
TW00220,SEC010,3,1,LOW
TW00221,SEC010,4,1,LOW
TW00222,SEC010,5,1,LOW
TW00223,SEC010,6,1,LOW
TW00224,SEC010,7,1,LOW
TW00225,SEC010,8,1,LOW
TW00226,SEC010,9,2,LOW
TW00227,SEC010,10,1,LOW
TW00228,SEC010,11,0,LOW
TW00229,SEC010,12,2,LOW
TW00230,SEC010,13,1,LOW
TW00231,SEC010,14,1,LOW
TW00232,SEC010,15,1,LOW
TW00233,SEC010,16,0,LOW
TW00234,SEC010,17,1,LOW
TW00235,SEC010,18,2,LOW
TW00236,SEC010,19,1,LOW
TW00237,SEC010,20,1,LOW
TW00238,SEC010,21,1,LOW
TW00239,SEC010,22,0,LOW
TW00240,SEC010,23,1,LOW
TW00241,SEC011,0,0,LOW
TW00242,SEC011,1,0,LOW
TW00243,SEC011,2,1,LOW
TW00244,SEC011,3,1,LOW
TW00245,SEC011,4,1,LOW
TW00246,SEC011,5,1,LOW
TW00247,SEC011,6,2,LOW
TW00248,SEC011,7,2,LOW
TW00249,SEC011,8,1,LOW
TW00250,SEC011,9,3,MEDIUM
TW00251,SEC011,10,1,LOW
TW00252,SEC011,11,1,LOW
TW00253,SEC011,12,2,LOW
TW00254,SEC011,13,2,LOW
TW00255,SEC011,14,2,LOW
TW00256,SEC011,15,2,LOW
TW00257,SEC011,16,1,LOW
TW00258,SEC011,17,1,LOW
TW00259,SEC011,18,2,LOW
TW00260,SEC011,19,1,LOW
TW00261,SEC011,20,1,LOW
TW00262,SEC011,21,1,LOW
TW00263,SEC011,22,0,LOW
TW00264,SEC011,23,0,LOW
TW00265,SEC012,0,0,LOW
TW00266,SEC012,1,0,LOW
TW00267,SEC012,2,1,LOW
TW00268,SEC012,3,2,LOW
TW00269,SEC012,4,1,LOW
TW00270,SEC012,5,0,LOW
TW00271,SEC012,6,1,LOW
TW00272,SEC012,7,2,LOW
TW00273,SEC012,8,0,LOW
TW00274,SEC012,9,3,MEDIUM
TW00275,SEC012,10,1,LOW
TW00276,SEC012,11,1,LOW
TW00277,SEC012,12,1,LOW
TW00278,SEC012,13,1,LOW
TW00279,SEC012,14,1,LOW
TW00280,SEC012,15,1,LOW
TW00281,SEC012,16,1,LOW
TW00282,SEC012,17,0,LOW
TW00283,SEC012,18,2,LOW
TW00284,SEC012,19,1,LOW
TW00285,SEC012,20,1,LOW
TW00286,SEC012,21,1,LOW
TW00287,SEC012,22,0,LOW
TW00288,SEC012,23,0,LOW
TW00289,SEC013,0,0,LOW
TW00290,SEC013,1,0,LOW
TW00291,SEC013,2,0,LOW
TW00292,SEC013,3,2,LOW
TW00293,SEC013,4,1,LOW
TW00294,SEC013,5,0,LOW
TW00295,SEC013,6,1,LOW
TW00296,SEC013,7,2,LOW
TW00297,SEC013,8,1,LOW
TW00298,SEC013,9,2,LOW
TW00299,SEC013,10,1,LOW
TW00300,SEC013,11,1,LOW
TW00301,SEC013,12,1,LOW
TW00302,SEC013,13,1,LOW
TW00303,SEC013,14,1,LOW
TW00304,SEC013,15,1,LOW
TW00305,SEC013,16,1,LOW
TW00306,SEC013,17,1,LOW
TW00307,SEC013,18,2,LOW
TW00308,SEC013,19,1,LOW
TW00309,SEC013,20,1,LOW
TW00310,SEC013,21,1,LOW
TW00311,SEC013,22,1,LOW
TW00312,SEC013,23,0,LOW
TW00313,SEC014,0,0,LOW
TW00314,SEC014,1,0,LOW
TW00315,SEC014,2,0,LOW
TW00316,SEC014,3,2,LOW
TW00317,SEC014,4,1,LOW
TW00318,SEC014,5,0,LOW
TW00319,SEC014,6,1,LOW
TW00320,SEC014,7,1,LOW
TW00321,SEC014,8,1,LOW
TW00322,SEC014,9,2,LOW
TW00323,SEC014,10,1,LOW
TW00324,SEC014,11,1,LOW
TW00325,SEC014,12,1,LOW
TW00326,SEC014,13,1,LOW
TW00327,SEC014,14,1,LOW
TW00328,SEC014,15,1,LOW
TW00329,SEC014,16,1,LOW
TW00330,SEC014,17,1,LOW
TW00331,SEC014,18,2,LOW
TW00332,SEC014,19,1,LOW
TW00333,SEC014,20,1,LOW
TW00334,SEC014,21,0,LOW
TW00335,SEC014,22,1,LOW
TW00336,SEC014,23,0,LOW
TW00337,SEC015,0,0,LOW
TW00338,SEC015,1,0,LOW
TW00339,SEC015,2,0,LOW
TW00340,SEC015,3,2,LOW
TW00341,SEC015,4,0,LOW
TW00342,SEC015,5,1,LOW
TW00343,SEC015,6,1,LOW
TW00344,SEC015,7,1,LOW
TW00345,SEC015,8,1,LOW
TW00346,SEC015,9,2,LOW
TW00347,SEC015,10,3,MEDIUM
TW00348,SEC015,11,1,LOW
TW00349,SEC015,12,1,LOW
TW00350,SEC015,13,2,LOW
TW00351,SEC015,14,1,LOW
TW00352,SEC015,15,1,LOW
TW00353,SEC015,16,1,LOW
TW00354,SEC015,17,0,LOW
TW00355,SEC015,18,1,LOW
TW00356,SEC015,19,1,LOW
TW00357,SEC015,20,1,LOW
TW00358,SEC015,21,0,LOW
TW00359,SEC015,22,0,LOW
TW00360,SEC015,23,0,LOW
TW00361,SEC016,0,0,LOW
TW00362,SEC016,1,0,LOW
TW00363,SEC016,2,0,LOW
TW00364,SEC016,3,2,LOW
TW00365,SEC016,4,0,LOW
TW00366,SEC016,5,1,LOW
TW00367,SEC016,6,1,LOW
TW00368,SEC016,7,1,LOW
TW00369,SEC016,8,1,LOW
TW00370,SEC016,9,0,LOW
TW00371,SEC016,10,3,MEDIUM
TW00372,SEC016,11,1,LOW
TW00373,SEC016,12,0,LOW
TW00374,SEC016,13,2,LOW
TW00375,SEC016,14,1,LOW
TW00376,SEC016,15,1,LOW
TW00377,SEC016,16,1,LOW
TW00378,SEC016,17,1,LOW
TW00379,SEC016,18,1,LOW
TW00380,SEC016,19,2,LOW
TW00381,SEC016,20,1,LOW
TW00382,SEC016,21,0,LOW
TW00383,SEC016,22,0,LOW
TW00384,SEC016,23,0,LOW
TW00385,SEC017,0,0,LOW
TW00386,SEC017,1,0,LOW
TW00387,SEC017,2,0,LOW
TW00388,SEC017,3,2,LOW
TW00389,SEC017,4,1,LOW
TW00390,SEC017,5,1,LOW
TW00391,SEC017,6,1,LOW
TW00392,SEC017,7,2,LOW
TW00393,SEC017,8,2,LOW
TW00394,SEC017,9,0,LOW
TW00395,SEC017,10,3,MEDIUM
TW00396,SEC017,11,1,LOW
TW00397,SEC017,12,0,LOW
TW00398,SEC017,13,2,LOW
TW00399,SEC017,14,1,LOW
TW00400,SEC017,15,1,LOW
TW00401,SEC017,16,2,LOW
TW00402,SEC017,17,1,LOW
TW00403,SEC017,18,1,LOW
TW00404,SEC017,19,2,LOW
TW00405,SEC017,20,1,LOW
TW00406,SEC017,21,1,LOW
TW00407,SEC017,22,0,LOW
TW00408,SEC017,23,0,LOW
