history_id,asset_id,section_id,event_date,event_type,severity,downtime_hours
HIST0030,AST0001,SEC001,2025-12-23,DEFECT_FOUND,45,6.0
HIST0031,AST0014,SEC003,2026-05-10,PREVENTIVE_MAINTENANCE,68,1.0
HIST0032,AST0044,SEC009,2025-10-24,MINOR_FAILURE,30,6.0
HIST0033,AST0010,SEC002,2026-03-02,DEFECT_FOUND,53,1.5
HIST0034,AST0073,SEC015,2026-03-19,DEFECT_FOUND,37,1.5
HIST0035,AST0081,SEC017,2026-02-01,MINOR_FAILURE,72,2.0
HIST0036,AST0049,SEC010,2026-02-03,DEFECT_FOUND,91,3.0
HIST0037,AST0045,SEC009,2025-12-19,PREVENTIVE_MAINTENANCE,81,1.5
HIST0038,AST0072,SEC015,2025-01-29,MINOR_FAILURE,83,1.5
HIST0039,AST0002,SEC001,2025-10-27,DEFECT_FOUND,72,6.0
HIST0040,AST0016,SEC004,2026-07-13,DEFECT_FOUND,54,4.0
HIST0041,AST0038,SEC008,2025-10-05,DEFECT_FOUND,96,1.5
HIST0042,AST0016,SEC004,2026-02-19,DEFECT_FOUND,57,3.0
HIST0043,AST0012,SEC003,2025-05-10,MINOR_FAILURE,98,6.0
HIST0044,AST0063,SEC013,2025-06-15,DEFECT_FOUND,92,0.5
HIST0045,AST0001,SEC001,2025-04-20,DEFECT_FOUND,48,1.5
HIST0046,AST0064,SEC013,2025-09-08,MINOR_FAILURE,70,1.5
HIST0047,AST0003,SEC001,2026-02-05,DEFECT_FOUND,79,6.0
HIST0048,AST0075,SEC015,2026-07-01,MINOR_FAILURE,98,4.0
HIST0049,AST0058,SEC012,2025-11-28,MINOR_FAILURE,91,3.0
HIST0050,AST0036,SEC008,2025-06-21,DEFECT_FOUND,96,4.0
HIST0051,AST0047,SEC010,2025-01-29,MINOR_FAILURE,89,3.0
HIST0052,AST0010,SEC002,2026-07-24,DEFECT_FOUND,78,3.0
HIST0053,AST0072,SEC015,2026-02-12,DEFECT_FOUND,83,1.0
HIST0054,AST0006,SEC002,2025-03-12,DEFECT_FOUND,98,1.0
HIST0055,AST0083,SEC017,2025-06-22,MAJOR_FAILURE,78,1.5
HIST0056,AST0023,SEC005,2025-08-21,PREVENTIVE_MAINTENANCE,55,1.0
HIST0057,AST0068,SEC014,2025-01-29,DEFECT_FOUND,54,4.0
HIST0058,AST0028,SEC006,2026-01-25,DEFECT_FOUND,34,1.0
HIST0059,AST0078,SEC016,2025-09-28,PREVENTIVE_MAINTENANCE,92,1.5
HIST0060,AST0005,SEC001,2025-01-25,DEFECT_FOUND,85,0.5
HIST0061,AST0014,SEC003,2026-05-15,DEFECT_FOUND,68,0.5
HIST0062,AST0040,SEC008,2025-03-29,MAJOR_FAILURE,39,2.0
HIST0063,AST0073,SEC015,2025-03-30,MINOR_FAILURE,68,2.0
HIST0064,AST0028,SEC006,2026-03-30,DEFECT_FOUND,89,1.0
HIST0065,AST0010,SEC002,2026-07-03,DEFECT_FOUND,59,0.5
HIST0066,AST0005,SEC001,2026-02-12,MINOR_FAILURE,59,1.5
HIST0067,AST0083,SEC017,2025-03-24,MINOR_FAILURE,60,1.0
HIST0068,AST0049,SEC010,2026-01-08,DEFECT_FOUND,58,0.5
HIST0069,AST0053,SEC011,2025-10-06,MAJOR_FAILURE,59,1.5
HIST0070,AST0070,SEC014,2026-08-13,PREVENTIVE_MAINTENANCE,70,2.0
HIST0071,AST0077,SEC016,2025-11-16,PREVENTIVE_MAINTENANCE,90,0.5
HIST0072,AST0052,SEC011,2025-03-27,MAJOR_FAILURE,50,4.0
HIST0073,AST0067,SEC014,2025-08-15,MINOR_FAILURE,46,1.0
HIST0074,AST0078,SEC016,2026-04-19,PREVENTIVE_MAINTENANCE,32,3.0
HIST0075,AST0030,SEC006,2026-07-16,DEFECT_FOUND,54,4.0
HIST0076,AST0002,SEC001,2025-08-20,MINOR_FAILURE,37,1.0
HIST0077,AST0041,SEC009,2025-06-29,DEFECT_FOUND,75,3.0
HIST0078,AST0068,SEC014,2025-04-18,MINOR_FAILURE,52,1.0
HIST0079,AST0058,SEC012,2026-05-12,DEFECT_FOUND,79,4.0
HIST0080,AST0024,SEC005,2025-09-06,MINOR_FAILURE,86,4.0
HIST0081,AST0056,SEC012,2026-03-26,MAJOR_FAILURE,87,4.0
HIST0082,AST0081,SEC017,2026-04-09,PREVENTIVE_MAINTENANCE,42,1.0
HIST0083,AST0069,SEC014,2025-07-28,DEFECT_FOUND,39,6.0
HIST0084,AST0029,SEC006,2025-10-09,DEFECT_FOUND,39,1.0
HIST0085,AST0070,SEC014,2025-07-04,MINOR_FAILURE,81,1.0
HIST0086,AST0040,SEC008,2026-01-11,MINOR_FAILURE,60,2.0
HIST0087,AST0057,SEC012,2026-01-11,MINOR_FAILURE,90,2.0
HIST0088,AST0060,SEC012,2025-10-20,DEFECT_FOUND,52,0.5
HIST0089,AST0028,SEC006,2025-05-22,DEFECT_FOUND,98,0.5
HIST0090,AST0024,SEC005,2025-08-22,MAJOR_FAILURE,84,1.5
HIST0091,AST0016,SEC004,2025-05-09,MAJOR_FAILURE,87,3.0
HIST0092,AST0062,SEC013,2025-06-03,PREVENTIVE_MAINTENANCE,57,3.0
HIST0093,AST0027,SEC006,2026-07-09,DEFECT_FOUND,38,1.0
HIST0094,AST0053,SEC011,2025-02-15,MINOR_FAILURE,72,1.0
HIST0095,AST0049,SEC010,2025-10-29,MINOR_FAILURE,96,0.5
HIST0096,AST0078,SEC016,2025-01-25,DEFECT_FOUND,46,1.0
HIST0097,AST0066,SEC014,2026-01-30,MINOR_FAILURE,89,1.0
HIST0098,AST0074,SEC015,2026-01-06,PREVENTIVE_MAINTENANCE,96,2.0
HIST0099,AST0009,SEC002,2025-05-05,DEFECT_FOUND,90,1.5
HIST0100,AST0001,SEC001,2025-07-22,DEFECT_FOUND,79,1.0
HIST0101,AST0005,SEC001,2025-11-01,PREVENTIVE_MAINTENANCE,46,4.0
HIST0102,AST0022,SEC005,2025-12-06,PREVENTIVE_MAINTENANCE,58,1.5
HIST0103,AST0001,SEC001,2025-10-06,MINOR_FAILURE,73,1.0
HIST0104,AST0042,SEC009,2025-01-31,DEFECT_FOUND,82,1.0
HIST0105,AST0015,SEC003,2025-02-03,PREVENTIVE_MAINTENANCE,36,0.5
HIST0106,AST0044,SEC009,2025-01-21,MAJOR_FAILURE,66,4.0
HIST0107,AST0021,SEC005,2026-08-13,MINOR_FAILURE,81,1.0
HIST0108,AST0061,SEC013,2026-04-19,DEFECT_FOUND,92,0.5
HIST0109,AST0043,SEC009,2026-07-25,MAJOR_FAILURE,88,1.5
HIST0110,AST0028,SEC006,2025-06-12,PREVENTIVE_MAINTENANCE,49,2.0
HIST0111,AST0045,SEC009,2025-03-13,PREVENTIVE_MAINTENANCE,30,3.0
HIST0112,AST0031,SEC007,2025-12-11,DEFECT_FOUND,79,4.0
HIST0113,AST0051,SEC011,2025-05-23,PREVENTIVE_MAINTENANCE,91,3.0
HIST0114,AST0076,SEC016,2025-02-13,MINOR_FAILURE,56,4.0
HIST0115,AST0059,SEC012,2025-07-15,DEFECT_FOUND,65,1.5
HIST0116,AST0018,SEC004,2025-12-10,PREVENTIVE_MAINTENANCE,35,0.5
HIST0117,AST0023,SEC005,2026-01-21,PREVENTIVE_MAINTENANCE,83,1.0
HIST0118,AST0057,SEC012,2025-05-03,MINOR_FAILURE,42,4.0
HIST0119,AST0039,SEC008,2025-06-04,DEFECT_FOUND,80,1.5
HIST0120,AST0038,SEC008,2026-07-26,DEFECT_FOUND,49,4.0
HIST0121,AST0037,SEC008,2025-11-02,DEFECT_FOUND,65,6.0
HIST0122,AST0011,SEC003,2025-12-07,MINOR_FAILURE,58,3.0
HIST0123,AST0014,SEC003,2026-04-17,PREVENTIVE_MAINTENANCE,56,1.5
HIST0124,AST0049,SEC010,2025-01-10,DEFECT_FOUND,49,0.5
HIST0125,AST0032,SEC007,2025-10-28,PREVENTIVE_MAINTENANCE,72,2.0
HIST0126,AST0051,SEC011,2025-05-28,PREVENTIVE_MAINTENANCE,31,2.0
HIST0127,AST0042,SEC009,2025-09-20,MINOR_FAILURE,44,0.5
HIST0128,AST0019,SEC004,2026-03-19,DEFECT_FOUND,43,1.0
HIST0129,AST0076,SEC016,2026-01-01,DEFECT_FOUND,33,0.5
HIST0130,AST0072,SEC015,2025-04-20,PREVENTIVE_MAINTENANCE,82,0.5
HIST0131,AST0070,SEC014,2025-02-21,MINOR_FAILURE,78,4.0
HIST0132,AST0058,SEC012,2025-05-05,DEFECT_FOUND,31,2.0
HIST0133,AST0023,SEC005,2025-02-03,DEFECT_FOUND,100,2.0
HIST0134,AST0074,SEC015,2025-08-07,DEFECT_FOUND,38,4.0
HIST0135,AST0009,SEC002,2026-05-14,MINOR_FAILURE,91,4.0
HIST0136,AST0050,SEC010,2025-04-05,PREVENTIVE_MAINTENANCE,69,3.0
HIST0137,AST0009,SEC002,2026-06-21,PREVENTIVE_MAINTENANCE,45,3.0
HIST0138,AST0079,SEC016,2026-04-11,DEFECT_FOUND,69,6.0
HIST0139,AST0001,SEC001,2026-03-01,MINOR_FAILURE,85,4.0
HIST0140,AST0026,SEC006,2026-06-02,DEFECT_FOUND,56,6.0
HIST0141,AST0029,SEC006,2025-12-31,PREVENTIVE_MAINTENANCE,59,6.0
HIST0142,AST0006,SEC002,2026-08-12,DEFECT_FOUND,88,3.0
HIST0143,AST0032,SEC007,2026-04-04,PREVENTIVE_MAINTENANCE,76,0.5
HIST0144,AST0051,SEC011,2026-07-28,MINOR_FAILURE,100,3.0
HIST0145,AST0047,SEC010,2025-11-03,DEFECT_FOUND,58,3.0
HIST0146,AST0022,SEC005,2025-01-26,MINOR_FAILURE,66,2.0
HIST0147,AST0003,SEC001,2026-04-28,MINOR_FAILURE,76,3.0
HIST0148,AST0060,SEC012,2025-07-05,PREVENTIVE_MAINTENANCE,41,0.5
HIST0149,AST0018,SEC004,2026-07-21,MINOR_FAILURE,56,6.0
HIST0150,AST0033,SEC007,2026-07-21,MINOR_FAILURE,41,1.5
HIST0151,AST0025,SEC005,2025-07-19,PREVENTIVE_MAINTENANCE,78,1.5
HIST0152,AST0005,SEC001,2025-03-03,DEFECT_FOUND,45,4.0
HIST0153,AST0024,SEC005,2025-07-12,PREVENTIVE_MAINTENANCE,42,1.0
HIST0154,AST0050,SEC010,2026-03-05,DEFECT_FOUND,62,3.0
HIST0155,AST0001,SEC001,2025-12-26,PREVENTIVE_MAINTENANCE,65,2.0
HIST0156,AST0043,SEC009,2025-09-27,DEFECT_FOUND,49,2.0
HIST0157,AST0028,SEC006,2025-01-06,PREVENTIVE_MAINTENANCE,99,3.0
HIST0158,AST0060,SEC012,2025-02-09,PREVENTIVE_MAINTENANCE,75,4.0
HIST0159,AST0049,SEC010,2025-02-01,PREVENTIVE_MAINTENANCE,45,2.0
HIST0160,AST0010,SEC002,2026-06-04,PREVENTIVE_MAINTENANCE,43,0.5
HIST0161,AST0076,SEC016,2026-08-01,PREVENTIVE_MAINTENANCE,46,2.0
HIST0162,AST0051,SEC011,2025-02-11,DEFECT_FOUND,98,6.0
HIST0163,AST0017,SEC004,2025-08-09,DEFECT_FOUND,52,1.0
HIST0164,AST0021,SEC005,2025-04-20,DEFECT_FOUND,37,4.0
HIST0165,AST0065,SEC013,2026-03-05,DEFECT_FOUND,41,0.5
HIST0166,AST0048,SEC010,2026-05-29,PREVENTIVE_MAINTENANCE,67,3.0
HIST0167,AST0048,SEC010,2026-01-15,MINOR_FAILURE,56,1.0
HIST0168,AST0054,SEC011,2025-10-09,MINOR_FAILURE,85,3.0
HIST0169,AST0023,SEC005,2026-02-06,PREVENTIVE_MAINTENANCE,33,1.5
HIST0170,AST0022,SEC005,2026-06-09,DEFECT_FOUND,30,4.0
HIST0171,AST0019,SEC004,2025-08-24,PREVENTIVE_MAINTENANCE,88,1.0
HIST0172,AST0072,SEC015,2025-06-13,MINOR_FAILURE,59,4.0
HIST0173,AST0012,SEC003,2025-08-31,PREVENTIVE_MAINTENANCE,63,2.0
HIST0174,AST0032,SEC007,2026-05-21,PREVENTIVE_MAINTENANCE,41,1.0
HIST0175,AST0041,SEC009,2025-06-05,PREVENTIVE_MAINTENANCE,66,3.0
HIST0176,AST0046,SEC010,2025-06-27,MINOR_FAILURE,33,1.0
HIST0177,AST0060,SEC012,2026-02-07,DEFECT_FOUND,30,6.0
HIST0178,AST0081,SEC017,2026-01-27,MINOR_FAILURE,34,0.5
HIST0179,AST0043,SEC009,2025-12-28,MINOR_FAILURE,51,6.0
HIST0180,AST0032,SEC007,2025-04-12,PREVENTIVE_MAINTENANCE,53,3.0
HIST0181,AST0023,SEC005,2025-08-19,PREVENTIVE_MAINTENANCE,40,1.0
HIST0182,AST0051,SEC011,2026-05-02,MINOR_FAILURE,74,1.5
HIST0183,AST0033,SEC007,2025-05-28,MINOR_FAILURE,73,2.0
HIST0184,AST0008,SEC002,2025-08-13,DEFECT_FOUND,77,0.5
HIST0185,AST0078,SEC016,2026-07-23,DEFECT_FOUND,31,4.0
HIST0186,AST0084,SEC017,2026-06-24,MAJOR_FAILURE,36,3.0
HIST0187,AST0076,SEC016,2025-04-17,DEFECT_FOUND,74,2.0
HIST0188,AST0010,SEC002,2025-09-30,DEFECT_FOUND,53,1.0
HIST0189,AST0062,SEC013,2025-02-28,DEFECT_FOUND,32,3.0
HIST0190,AST0023,SEC005,2025-05-13,MINOR_FAILURE,69,1.0
HIST0191,AST0035,SEC007,2025-01-30,MINOR_FAILURE,55,1.0
HIST0192,AST0008,SEC002,2026-08-07,MAJOR_FAILURE,73,1.0
HIST0193,AST0009,SEC002,2025-07-27,MINOR_FAILURE,32,2.0
HIST0194,AST0042,SEC009,2026-06-14,MAJOR_FAILURE,67,3.0
HIST0195,AST0079,SEC016,2026-08-05,MINOR_FAILURE,100,6.0
HIST0196,AST0019,SEC004,2025-03-23,DEFECT_FOUND,45,3.0
HIST0197,AST0072,SEC015,2026-06-14,MINOR_FAILURE,57,2.0
HIST0198,AST0029,SEC006,2025-11-05,PREVENTIVE_MAINTENANCE,33,3.0
HIST0199,AST0003,SEC001,2025-04-09,PREVENTIVE_MAINTENANCE,83,0.5
HIST0200,AST0046,SEC010,2026-07-15,DEFECT_FOUND,64,2.0
HIST0201,AST0040,SEC008,2026-04-01,PREVENTIVE_MAINTENANCE,84,1.0
HIST0202,AST0054,SEC011,2025-11-20,DEFECT_FOUND,48,6.0
HIST0203,AST0074,SEC015,2025-01-24,DEFECT_FOUND,81,1.5
HIST0204,AST0031,SEC007,2025-11-09,DEFECT_FOUND,84,1.5
HIST0205,AST0007,SEC002,2025-03-22,MAJOR_FAILURE,88,1.0
HIST0206,AST0047,SEC010,2026-02-03,MINOR_FAILURE,73,6.0
HIST0207,AST0013,SEC003,2026-08-08,MAJOR_FAILURE,83,1.0
HIST0208,AST0002,SEC001,2025-04-28,PREVENTIVE_MAINTENANCE,52,2.0
HIST0209,AST0058,SEC012,2025-07-26,MAJOR_FAILURE,49,2.0
HIST0210,AST0050,SEC010,2026-01-21,DEFECT_FOUND,80,1.0
HIST0211,AST0065,SEC013,2025-10-04,MINOR_FAILURE,37,6.0
HIST0212,AST0010,SEC002,2025-04-13,MINOR_FAILURE,89,1.5
HIST0213,AST0019,SEC004,2026-05-09,PREVENTIVE_MAINTENANCE,84,0.5
HIST0214,AST0066,SEC014,2025-12-16,MINOR_FAILURE,33,1.0
HIST0215,AST0031,SEC007,2025-07-28,DEFECT_FOUND,40,3.0
HIST0216,AST0075,SEC015,2025-08-27,DEFECT_FOUND,79,0.5
HIST0217,AST0052,SEC011,2025-04-02,DEFECT_FOUND,69,2.0
HIST0218,AST0069,SEC014,2025-08-02,DEFECT_FOUND,61,1.5
HIST0219,AST0008,SEC002,2026-02-26,MINOR_FAILURE,34,3.0
HIST0220,AST0033,SEC007,2025-09-14,MINOR_FAILURE,76,2.0
HIST0221,AST0046,SEC010,2026-08-09,DEFECT_FOUND,35,1.0
HIST0222,AST0064,SEC013,2026-06-24,DEFECT_FOUND,91,2.0
HIST0223,AST0054,SEC011,2025-12-14,DEFECT_FOUND,45,4.0
HIST0224,AST0012,SEC003,2026-01-25,MINOR_FAILURE,55,4.0
HIST0225,AST0019,SEC004,2026-01-12,DEFECT_FOUND,83,4.0
HIST0226,AST0006,SEC002,2026-06-06,MINOR_FAILURE,68,3.0
HIST0227,AST0077,SEC016,2025-12-10,PREVENTIVE_MAINTENANCE,69,3.0
HIST0228,AST0014,SEC003,2026-02-13,MINOR_FAILURE,55,4.0
HIST0229,AST0083,SEC017,2025-10-20,DEFECT_FOUND,94,1.0
HIST0230,AST0017,SEC004,2026-08-18,MINOR_FAILURE,76,6.0
HIST0231,AST0065,SEC013,2025-06-02,DEFECT_FOUND,74,1.5
HIST0232,AST0002,SEC001,2025-04-16,MAJOR_FAILURE,77,6.0
HIST0233,AST0002,SEC001,2026-03-28,MINOR_FAILURE,77,4.0
HIST0234,AST0034,SEC007,2025-02-15,MAJOR_FAILURE,74,4.0
HIST0235,AST0065,SEC013,2026-08-10,MINOR_FAILURE,48,3.0
HIST0236,AST0034,SEC007,2026-02-08,DEFECT_FOUND,63,2.0
HIST0237,AST0029,SEC006,2025-12-29,DEFECT_FOUND,60,1.0
HIST0238,AST0079,SEC016,2026-06-08,PREVENTIVE_MAINTENANCE,31,1.5
HIST0239,AST0009,SEC002,2025-11-18,MINOR_FAILURE,40,3.0
HIST0240,AST0056,SEC012,2026-03-27,PREVENTIVE_MAINTENANCE,97,1.5
HIST0241,AST0053,SEC011,2025-04-28,DEFECT_FOUND,84,4.0
HIST0242,AST0062,SEC013,2026-01-25,MINOR_FAILURE,81,0.5
HIST0243,AST0022,SEC005,2025-01-01,DEFECT_FOUND,55,2.0
HIST0244,AST0064,SEC013,2025-10-19,DEFECT_FOUND,54,6.0
HIST0245,AST0032,SEC007,2026-01-08,DEFECT_FOUND,98,1.5
HIST0246,AST0020,SEC004,2025-05-15,DEFECT_FOUND,89,1.0
HIST0247,AST0081,SEC017,2025-04-28,DEFECT_FOUND,90,6.0
HIST0248,AST0021,SEC005,2025-07-31,DEFECT_FOUND,83,1.5
HIST0249,AST0016,SEC004,2025-05-18,DEFECT_FOUND,33,2.0
HIST0250,AST0077,SEC016,2025-04-10,MINOR_FAILURE,31,1.5
HIST0251,AST0054,SEC011,2026-05-22,MINOR_FAILURE,61,0.5
HIST0252,AST0007,SEC002,2025-08-21,MAJOR_FAILURE,69,0.5
HIST0253,AST0024,SEC005,2026-07-23,PREVENTIVE_MAINTENANCE,50,3.0
HIST0254,AST0073,SEC015,2025-04-06,DEFECT_FOUND,39,4.0
HIST0255,AST0085,SEC017,2026-03-12,DEFECT_FOUND,35,6.0
HIST0256,AST0069,SEC014,2025-07-06,MAJOR_FAILURE,99,2.0
HIST0257,AST0058,SEC012,2025-04-17,MINOR_FAILURE,95,6.0
HIST0258,AST0044,SEC009,2025-01-27,DEFECT_FOUND,46,1.0
HIST0259,AST0026,SEC006,2025-07-06,PREVENTIVE_MAINTENANCE,95,1.5
HIST0260,AST0037,SEC008,2025-12-11,MINOR_FAILURE,93,1.5
HIST0261,AST0062,SEC013,2025-10-13,MINOR_FAILURE,94,0.5
HIST0262,AST0048,SEC010,2026-05-24,DEFECT_FOUND,54,1.0
HIST0263,AST0018,SEC004,2026-04-23,MINOR_FAILURE,77,6.0
HIST0264,AST0077,SEC016,2025-08-31,MAJOR_FAILURE,74,6.0
HIST0265,AST0024,SEC005,2026-04-18,MINOR_FAILURE,52,2.0
HIST0266,AST0064,SEC013,2026-06-01,MINOR_FAILURE,51,4.0
HIST0267,AST0084,SEC017,2025-10-09,MAJOR_FAILURE,51,3.0
HIST0268,AST0074,SEC015,2026-04-30,MINOR_FAILURE,51,6.0
HIST0269,AST0038,SEC008,2026-01-10,MINOR_FAILURE,71,4.0
HIST0270,AST0027,SEC006,2025-11-15,MINOR_FAILURE,79,6.0
HIST0271,AST0016,SEC004,2025-09-11,DEFECT_FOUND,79,3.0
HIST0272,AST0062,SEC013,2026-05-21,MINOR_FAILURE,76,6.0
HIST0273,AST0001,SEC001,2025-05-10,MINOR_FAILURE,72,4.0
HIST0274,AST0068,SEC014,2025-09-04,DEFECT_FOUND,93,2.0
HIST0275,AST0081,SEC017,2026-02-25,PREVENTIVE_MAINTENANCE,95,0.5
HIST0276,AST0061,SEC013,2025-12-25,PREVENTIVE_MAINTENANCE,33,6.0
HIST0277,AST0006,SEC002,2026-07-26,DEFECT_FOUND,35,2.0
HIST0278,AST0014,SEC003,2025-02-05,DEFECT_FOUND,85,4.0
HIST0279,AST0006,SEC002,2026-07-18,DEFECT_FOUND,62,3.0
HIST0280,AST0005,SEC001,2025-09-23,DEFECT_FOUND,67,2.0
HIST0281,AST0078,SEC016,2025-01-27,PREVENTIVE_MAINTENANCE,85,4.0
HIST0282,AST0011,SEC003,2026-05-19,MINOR_FAILURE,72,1.5
HIST0283,AST0083,SEC017,2026-03-20,PREVENTIVE_MAINTENANCE,33,2.0
HIST0284,AST0044,SEC009,2025-03-12,PREVENTIVE_MAINTENANCE,32,4.0
HIST0285,AST0015,SEC003,2025-07-06,DEFECT_FOUND,92,1.5
HIST0286,AST0058,SEC012,2025-03-26,MINOR_FAILURE,98,0.5
HIST0287,AST0074,SEC015,2025-08-27,PREVENTIVE_MAINTENANCE,56,1.0
HIST0288,AST0058,SEC012,2026-01-05,PREVENTIVE_MAINTENANCE,40,2.0
HIST0289,AST0016,SEC004,2025-06-22,DEFECT_FOUND,88,1.5
HIST0290,AST0021,SEC005,2025-05-26,MAJOR_FAILURE,59,6.0
HIST0291,AST0082,SEC017,2025-01-08,PREVENTIVE_MAINTENANCE,80,3.0
HIST0292,AST0084,SEC017,2025-09-21,DEFECT_FOUND,87,6.0
HIST0293,AST0018,SEC004,2025-05-12,DEFECT_FOUND,96,1.0
HIST0294,AST0084,SEC017,2025-03-01,PREVENTIVE_MAINTENANCE,56,1.5
HIST0295,AST0049,SEC010,2026-02-04,MINOR_FAILURE,38,4.0
HIST0296,AST0033,SEC007,2025-06-12,DEFECT_FOUND,59,4.0
HIST0297,AST0028,SEC006,2026-05-11,DEFECT_FOUND,40,4.0
HIST0298,AST0056,SEC012,2026-07-03,MAJOR_FAILURE,84,2.0
HIST0299,AST0076,SEC016,2025-02-18,DEFECT_FOUND,30,1.5
HIST0300,AST0019,SEC004,2025-02-03,DEFECT_FOUND,73,3.0
