request_id,asset_id,section_id,department,asset_type,maintenance_type,severity,criticality_score,duration_hours,created_date,due_date,overdue_days,baseline_risk_score,status
MR0077,AST0034,SEC007,Engineering,POINTS,Turnout inspection,61,83,2.5,2026-08-28,2026-09-04,5,39.9,PENDING
MR0078,AST0083,SEC017,Traction,OHE,OHE inspection,87,95,1.5,2026-08-16,2026-08-19,19,54.7,IN_PROGRESS
MR0079,AST0044,SEC009,Engineering,POINTS,Turnout inspection,87,80,2.5,2026-08-19,2026-08-30,22,52.5,PENDING
MR0080,AST0023,SEC005,Traction,OHE,OHE inspection,70,73,4.0,2026-08-16,2026-08-26,4,35.0,PENDING
MR0081,AST0015,SEC003,S&T,TELECOM,Control communication maintenance,69,78,1.0,2026-08-29,2026-09-12,23,51.7,PENDING
MR0082,AST0071,SEC015,Engineering,TRACK,Rail grinding,84,76,2.0,2026-08-25,2026-09-08,13,54.5,PENDING
MR0083,AST0081,SEC017,Engineering,TRACK,Track inspection,53,76,0.5,2026-08-27,2026-08-30,1,35.0,PENDING
MR0084,AST0033,SEC007,Traction,OHE,OHE inspection,67,77,2.5,2026-08-25,2026-08-31,8,56.9,PENDING
MR0085,AST0068,SEC014,Traction,OHE,OHE inspection,79,82,2.5,2026-08-28,2026-08-30,17,55.6,PENDING
MR0086,AST0068,SEC014,Traction,OHE,Catenary maintenance,76,73,2.0,2026-08-30,2026-09-08,13,49.8,PENDING
MR0087,AST0078,SEC016,Traction,OHE,Catenary maintenance,50,95,1.5,2026-08-26,2026-08-31,13,42.6,PENDING
MR0088,AST0016,SEC004,Engineering,TRACK,Rail joint repair,51,91,1.5,2026-08-23,2026-08-27,9,29.9,PENDING
MR0089,AST0012,SEC003,Signalling,SIGNAL,Signal inspection,61,73,3.0,2026-08-30,2026-09-13,14,47.1,PENDING
MR0090,AST0084,SEC017,Engineering,POINTS,Point machine maintenance,89,54,1.0,2026-08-25,2026-09-01,15,47.0,PENDING
MR0091,AST0058,SEC012,Traction,OHE,Catenary maintenance,88,74,4.0,2026-08-31,2026-09-07,17,61.6,PENDING
MR0092,AST0046,SEC010,Engineering,TRACK,Track inspection,55,91,4.0,2026-08-27,2026-09-02,28,41.4,IN_PROGRESS
MR0093,AST0063,SEC013,Traction,OHE,Pantograph clearance check,90,90,2.5,2026-08-15,2026-08-21,26,63.2,PENDING
MR0094,AST0074,SEC015,Engineering,POINTS,Point machine maintenance,46,97,1.0,2026-08-25,2026-09-05,19,40.0,PENDING
MR0095,AST0058,SEC012,Traction,OHE,Catenary maintenance,81,79,3.0,2026-08-19,2026-09-02,18,57.5,PENDING
MR0096,AST0080,SEC016,S&T,TELECOM,Fiber link inspection,90,73,4.0,2026-08-24,2026-08-31,1,37.7,PENDING
MR0097,AST0072,SEC015,Signalling,SIGNAL,Signal relay maintenance,73,60,3.0,2026-08-22,2026-09-03,15,43.5,PENDING
MR0098,AST0060,SEC012,S&T,TELECOM,Fiber link inspection,84,95,3.0,2026-08-26,2026-09-07,14,55.6,PENDING
MR0099,AST0063,SEC013,Traction,OHE,OHE inspection,45,95,3.0,2026-08-28,2026-09-02,2,35.9,PENDING
MR0100,AST0048,SEC010,Traction,OHE,Pantograph clearance check,58,50,1.0,2026-08-30,2026-09-10,25,38.5,PENDING
MR0101,AST0060,SEC012,S&T,TELECOM,Control communication maintenance,66,90,3.0,2026-08-25,2026-08-28,24,41.9,PENDING
MR0102,AST0008,SEC002,Traction,OHE,OHE inspection,70,97,1.5,2026-08-15,2026-08-29,2,46.4,PENDING
MR0103,AST0034,SEC007,Engineering,POINTS,Point machine maintenance,61,76,4.0,2026-08-30,2026-09-05,23,45.1,PENDING
MR0104,AST0022,SEC005,Signalling,SIGNAL,Interlocking check,56,90,0.5,2026-08-29,2026-09-02,29,41.9,PENDING
MR0105,AST0060,SEC012,S&T,TELECOM,Fiber link inspection,51,94,1.5,2026-08-31,2026-09-12,10,41.7,PENDING
MR0106,AST0082,SEC017,Signalling,SIGNAL,Signal inspection,47,50,2.5,2026-08-28,2026-08-30,19,34.3,PENDING
MR0107,AST0074,SEC015,Engineering,POINTS,Point machine maintenance,94,97,2.5,2026-08-16,2026-08-24,8,53.0,PENDING
MR0108,AST0076,SEC016,Engineering,TRACK,Tamping,62,50,3.0,2026-08-22,2026-08-26,18,41.7,PENDING
MR0109,AST0015,SEC003,S&T,TELECOM,Fiber link inspection,50,81,2.5,2026-08-16,2026-08-27,18,39.5,IN_PROGRESS
MR0110,AST0039,SEC008,Engineering,POINTS,Turnout inspection,99,60,4.0,2026-08-25,2026-09-07,16,42.3,PENDING
MR0111,AST0020,SEC004,S&T,TELECOM,Control communication maintenance,77,76,1.5,2026-08-23,2026-08-27,9,41.9,PENDING
MR0112,AST0021,SEC005,Engineering,TRACK,Rail joint repair,75,82,2.0,2026-08-20,2026-09-02,28,39.3,PENDING
MR0113,AST0010,SEC002,S&T,TELECOM,Fiber link inspection,77,79,4.0,2026-08-27,2026-09-10,18,40.9,COMPLETED
MR0114,AST0040,SEC008,S&T,TELECOM,Fiber link inspection,55,73,0.5,2026-08-30,2026-09-04,25,44.0,PENDING
MR0115,AST0045,SEC009,S&T,TELECOM,Fiber link inspection,46,79,3.0,2026-08-16,2026-08-29,8,28.1,PENDING
MR0116,AST0029,SEC006,Engineering,POINTS,Point machine maintenance,86,75,3.0,2026-08-31,2026-09-06,9,45.9,PENDING
MR0117,AST0037,SEC008,Signalling,SIGNAL,Signal inspection,64,82,1.5,2026-08-29,2026-09-11,15,48.6,PENDING
MR0118,AST0050,SEC010,S&T,TELECOM,Control communication maintenance,86,54,2.0,2026-08-18,2026-08-31,9,47.3,IN_PROGRESS
MR0119,AST0080,SEC016,S&T,TELECOM,Fiber link inspection,73,78,0.5,2026-08-30,2026-09-04,26,40.5,PENDING
MR0120,AST0002,SEC001,Signalling,SIGNAL,Interlocking check,98,83,0.5,2026-08-22,2026-08-31,20,44.2,PENDING
MR0121,AST0083,SEC017,Traction,OHE,Catenary maintenance,85,92,1.5,2026-08-29,2026-09-05,11,49.6,COMPLETED
MR0122,AST0002,SEC001,Signalling,SIGNAL,Interlocking check,97,81,2.0,2026-08-25,2026-09-06,23,54.8,IN_PROGRESS
MR0123,AST0059,SEC012,Engineering,POINTS,Point machine maintenance,89,75,1.5,2026-08-24,2026-09-05,10,48.4,PENDING
MR0124,AST0050,SEC010,S&T,TELECOM,Control communication maintenance,77,51,2.0,2026-08-24,2026-08-31,26,49.8,PENDING
MR0125,AST0063,SEC013,Traction,OHE,Catenary maintenance,61,94,4.0,2026-08-26,2026-09-03,30,52.8,PENDING
MR0126,AST0009,SEC002,Engineering,POINTS,Turnout inspection,89,79,2.5,2026-08-22,2026-08-28,22,53.4,IN_PROGRESS
MR0127,AST0053,SEC011,Traction,OHE,OHE inspection,57,100,2.0,2026-08-30,2026-09-11,3,41.0,IN_PROGRESS
MR0128,AST0021,SEC005,Engineering,TRACK,Rail joint repair,92,78,1.5,2026-08-31,2026-09-05,21,39.9,PENDING
MR0129,AST0048,SEC010,Traction,OHE,Catenary maintenance,60,55,3.0,2026-08-27,2026-09-09,16,44.1,PENDING
MR0130,AST0043,SEC009,Traction,OHE,Pantograph clearance check,86,79,1.0,2026-08-31,2026-09-14,5,37.6,PENDING
MR0131,AST0068,SEC014,Traction,OHE,Catenary maintenance,87,80,2.5,2026-08-18,2026-08-26,0,51.1,PENDING
MR0132,AST0002,SEC001,Signalling,SIGNAL,Interlocking check,86,75,2.0,2026-08-30,2026-09-03,2,38.6,PENDING
MR0133,AST0069,SEC014,Engineering,POINTS,Turnout inspection,51,100,2.5,2026-08-20,2026-09-01,3,47.9,PENDING
MR0134,AST0035,SEC007,S&T,TELECOM,Control communication maintenance,71,51,2.0,2026-08-31,2026-09-04,12,52.6,PENDING
MR0135,AST0014,SEC003,Engineering,POINTS,Turnout inspection,85,82,2.5,2026-08-28,2026-09-02,17,40.2,PENDING
MR0136,AST0041,SEC009,Engineering,TRACK,Rail grinding,92,74,0.5,2026-08-31,2026-09-14,30,43.8,PENDING
MR0137,AST0056,SEC012,Engineering,TRACK,Track inspection,65,78,0.5,2026-08-25,2026-08-31,2,36.3,PENDING
MR0138,AST0007,SEC002,Signalling,SIGNAL,Signal relay maintenance,46,77,1.5,2026-08-31,2026-09-14,22,33.8,PENDING
MR0139,AST0068,SEC014,Traction,OHE,Pantograph clearance check,82,80,2.5,2026-08-19,2026-08-26,25,53.6,PENDING
MR0140,AST0046,SEC010,Engineering,TRACK,Rail grinding,63,96,1.0,2026-08-22,2026-08-30,30,46.5,PENDING
MR0141,AST0040,SEC008,S&T,TELECOM,Fiber link inspection,66,75,1.0,2026-08-28,2026-09-02,14,38.3,IN_PROGRESS
MR0142,AST0074,SEC015,Engineering,POINTS,Turnout inspection,96,93,4.0,2026-08-31,2026-09-07,23,49.4,PENDING
MR0143,AST0074,SEC015,Engineering,POINTS,Turnout inspection,98,96,1.5,2026-08-30,2026-09-03,16,58.2,PENDING
MR0144,AST0020,SEC004,S&T,TELECOM,Fiber link inspection,95,76,2.5,2026-08-19,2026-08-27,24,52.5,PENDING
MR0145,AST0011,SEC003,Engineering,TRACK,Track inspection,89,52,4.0,2026-08-29,2026-09-10,29,35.4,PENDING
MR0146,AST0033,SEC007,Traction,OHE,Pantograph clearance check,59,75,4.0,2026-08-21,2026-09-01,20,32.3,PENDING
MR0147,AST0034,SEC007,Engineering,POINTS,Point machine maintenance,100,73,1.5,2026-08-21,2026-09-03,24,47.4,PENDING
MR0148,AST0069,SEC014,Engineering,POINTS,Point machine maintenance,51,100,4.0,2026-08-17,2026-08-24,23,46.1,PENDING
MR0149,AST0029,SEC006,Engineering,POINTS,Point machine maintenance,82,77,4.0,2026-08-15,2026-08-22,27,48.0,PENDING
MR0150,AST0082,SEC017,Signalling,SIGNAL,Signal inspection,60,59,1.5,2026-08-20,2026-08-23,5,32.4,PENDING
