request_id,condition_score,asset_age_years,severity,criticality_score,overdue_days,historical_event_count,traffic_impact_score,duration_hours,priority_score,priority_band
MR0061,87,9,72,83,0,2,11.0,1.5,49.37,LOW
MR0062,64,5,89,75,29,3,11.5,0.5,75.65,HIGH
MR0063,63,20,49,56,30,3,11.5,0.5,56.34,MEDIUM
MR0064,67,11,45,60,15,3,11.5,3.0,47.7,LOW
MR0065,69,21,49,76,15,4,11.0,1.5,52.64,MEDIUM
MR0066,95,9,74,55,10,5,12.0,2.0,50.03,MEDIUM
MR0067,76,6,99,99,2,3,11.5,4.0,64.96,MEDIUM
MR0068,87,21,100,97,14,6,11.5,1.5,74.36,MEDIUM
MR0069,68,18,67,73,29,2,10.5,2.0,65.16,MEDIUM
MR0070,77,20,50,57,28,2,11.5,1.5,55.84,MEDIUM
MR0071,84,7,77,80,24,3,10.5,2.0,72.08,MEDIUM
MR0072,79,6,86,81,11,2,14.5,2.0,63.44,MEDIUM
MR0073,75,19,68,73,27,2,11.0,1.0,65.97,MEDIUM
MR0074,75,7,71,77,27,4,11.0,4.0,69.48,MEDIUM
MR0075,83,6,76,96,27,4,11.5,3.0,75.47,HIGH
MR0076,88,15,73,50,6,5,11.5,2.5,45.59,LOW
MR0077,73,4,61,83,5,2,11.5,2.5,50.18,MEDIUM
MR0078,73,12,87,95,19,4,12.5,1.5,74.5,MEDIUM
MR0079,61,19,87,80,22,5,11.0,2.5,72.67,MEDIUM
MR0080,75,5,70,73,4,6,12.0,4.0,48.9,LOW
MR0081,67,17,69,78,23,2,11.5,1.0,67.51,MEDIUM
MR0082,56,19,84,76,13,0,10.5,2.0,63.82,MEDIUM
MR0083,53,21,53,76,1,5,12.5,0.5,42.2,LOW
MR0084,68,14,67,77,8,5,11.5,2.5,55.43,MEDIUM
MR0085,71,6,79,82,17,3,10.5,2.5,67.19,MEDIUM
MR0086,71,6,76,73,13,3,10.5,2.0,59.97,MEDIUM
MR0087,73,15,50,95,13,5,10.0,1.5,56.54,MEDIUM
MR0088,92,11,51,91,9,6,14.0,1.5,51.13,MEDIUM
MR0089,64,5,61,73,14,3,11.5,3.0,55.96,MEDIUM
MR0090,79,19,89,54,15,5,12.5,1.0,60.5,MEDIUM
MR0091,73,10,88,74,17,7,11.0,4.0,68.84,MEDIUM
MR0092,83,6,55,91,28,4,11.5,4.0,66.61,MEDIUM
MR0093,65,19,90,90,26,1,11.5,2.5,80.13,HIGH
MR0094,91,17,46,97,19,5,10.5,1.0,60.3,MEDIUM
MR0095,73,10,81,79,18,7,11.0,3.0,68.17,MEDIUM
MR0096,83,11,90,73,1,1,10.0,4.0,52.7,MEDIUM
MR0097,83,16,73,60,15,7,10.5,3.0,56.47,MEDIUM
MR0098,68,9,84,95,14,4,11.0,3.0,69.59,MEDIUM
MR0099,65,19,45,95,2,1,11.5,3.0,45.38,LOW
MR0100,67,11,58,50,25,3,11.5,1.0,56.82,MEDIUM
MR0101,68,9,66,90,24,4,11.0,3.0,68.88,MEDIUM
MR0102,76,6,70,97,2,3,11.5,1.5,54.96,MEDIUM
MR0103,73,4,61,76,23,2,11.5,4.0,63.62,MEDIUM
MR0104,80,10,56,90,29,5,12.0,0.5,66.78,MEDIUM
MR0105,68,9,51,94,10,4,11.0,1.5,54.16,MEDIUM
MR0106,80,8,47,50,19,1,12.5,2.5,48.2,LOW
MR0107,91,17,94,97,8,5,10.5,2.5,67.85,MEDIUM
MR0108,75,20,62,50,18,5,10.0,3.0,52.76,MEDIUM
MR0109,67,17,50,81,18,2,11.5,2.5,56.72,MEDIUM
MR0110,77,20,99,60,16,2,11.5,4.0,65.0,MEDIUM
MR0111,85,20,77,76,9,1,14.0,1.5,56.98,MEDIUM
MR0112,86,4,75,82,28,4,12.0,2.0,70.09,MEDIUM
MR0113,74,10,77,79,18,6,11.5,4.0,64.53,MEDIUM
MR0114,82,4,55,73,25,3,11.5,0.5,62.5,MEDIUM
MR0115,87,9,46,79,8,2,11.0,3.0,45.26,LOW
MR0116,75,7,86,75,9,4,11.0,3.0,59.73,MEDIUM
MR0117,70,12,64,82,15,2,11.5,1.5,60.14,MEDIUM
MR0118,63,20,86,54,9,3,11.5,2.0,54.74,MEDIUM
MR0119,83,11,73,78,26,1,10.0,0.5,68.47,MEDIUM
MR0120,84,10,98,83,20,7,12.0,0.5,73.98,MEDIUM
MR0121,73,12,85,92,11,4,12.5,1.5,65.99,MEDIUM
MR0122,84,10,97,81,23,7,12.0,2.0,77.17,HIGH
MR0123,75,19,89,75,10,2,11.0,1.5,61.81,MEDIUM
MR0124,63,20,77,51,26,3,11.5,2.0,64.47,MEDIUM
MR0125,65,19,61,94,30,1,11.5,4.0,70.87,MEDIUM
MR0126,70,12,89,79,22,5,11.5,2.5,73.21,MEDIUM
MR0127,74,6,57,100,3,3,14.5,2.0,52.1,MEDIUM
MR0128,86,4,92,78,21,4,12.0,1.5,71.08,MEDIUM
MR0129,67,11,60,55,16,3,11.5,3.0,52.31,MEDIUM
MR0130,94,9,86,79,5,5,11.0,1.0,56.29,MEDIUM
MR0131,71,6,87,80,0,3,10.5,2.5,54.81,MEDIUM
MR0132,84,10,86,75,2,7,12.0,2.0,53.14,MEDIUM
MR0133,78,21,51,100,3,3,10.5,2.5,50.93,MEDIUM
MR0134,46,16,71,51,12,1,11.5,2.0,52.69,MEDIUM
MR0135,78,5,85,82,17,5,11.5,2.5,66.78,MEDIUM
MR0136,98,15,92,74,30,5,11.0,0.5,73.77,MEDIUM
MR0137,69,21,65,78,2,4,11.0,0.5,47.15,LOW
MR0138,74,19,46,77,22,2,11.5,1.5,56.87,MEDIUM
MR0139,71,6,82,80,25,3,10.5,2.5,73.69,MEDIUM
MR0140,83,6,63,96,30,4,11.5,1.0,71.03,MEDIUM
MR0141,82,4,66,75,14,3,11.5,1.0,56.64,MEDIUM
MR0142,91,17,96,93,23,5,10.5,4.0,78.91,HIGH
MR0143,91,17,98,96,16,5,10.5,1.5,75.98,HIGH
MR0144,85,20,95,76,24,1,14.0,2.5,75.98,HIGH
MR0145,73,18,89,52,29,3,11.5,4.0,66.16,MEDIUM
MR0146,68,14,59,75,20,5,11.5,4.0,58.45,MEDIUM
MR0147,73,4,100,73,24,2,11.5,1.5,75.71,HIGH
MR0148,78,21,51,100,23,3,10.5,4.0,66.67,MEDIUM
MR0149,75,7,82,77,27,4,11.0,4.0,72.15,MEDIUM
MR0150,80,8,60,59,5,1,12.5,1.5,42.86,LOW
